Date/Time of Report: 3/17/2025 10:45:22,,,,,,,,
Requester: STN03 - Oper,,,,,,,,
Filter Applied: Event Time: 3/3/2025,,,,,,,,
Sort Criteria: Event Time descending,,,,,,,,
Server: ESV-01B,,,,,,,,
"Tip: to see the full time in Excel, use a custom cell format:  d/mm/yyyy h:mm:ss.000",,,,,,,,
,,,,,,,,
,,,,,,,,
Event Time,Location Tag,Source,Condition,Action,Priority,Description,Value,Units
3/3/2025 23:56:56.901,1500,FIC1501,CHANGE,,,PIDA.SP,40,t/h
3/3/2025 23:55:16.479,8800,TI8801,PVLOW,ACK,,BOILER BODY TEMP,,
3/3/2025 23:55:13.368,8100,AI_PH10,PVHIHI,ACK,,EFFULUENT CHANEL OLD W/S,,
3/3/2025 23:52:56.100,IOLINK04_1,AIOR-704,OP Fail in circuit/field wire,ACK,,,,
3/3/2025 23:51:43.100,IOLINK04_1,AIOR-704,OP Fail in circuit/field wire,OK,H 15,,Channel_18_A,
3/3/2025 23:51:25.300,IOLINK04_1,AIOR-704,OP Fail in circuit/field wire,,H 15,,Channel_18_A,
3/3/2025 23:50:46.857,8100,AI_PH10,PVLOLO,ACK,,EFFULUENT CHANEL OLD W/S,,
3/3/2025 23:50:12.200,8100,AI_PH10,PVLOLO,OK,H 00,EFFULUENT CHANEL OLD W/S,6.44597,pH
3/3/2025 23:49:37.500,1700,TI1701,PVHIGH,OK,L 00,RF1701 DELIVERY,7.9968,DegC
3/3/2025 23:48:35.200,1300,CH20FD_A,State Change,,J 00,SCM,Idle,
3/3/2025 23:48:34.900,01,EIP0222R,OFFNRM,,J 00,BPO023 A REPORT REQUEST,ON,
3/3/2025 23:48:34.300,1300,CH20FD_A,End,,J 00,SCM,,
3/3/2025 23:48:34.200,1300,CH20FD_A,State Change,,J 00,SCM,Complete,
3/3/2025 23:48:29.100,1300,WPLAN_A,State Change,,J 00,SCM,Running,
3/3/2025 23:48:29.900,1300,WPLAN_A,Start,,J 00,SCM,,
3/3/2025 23:48:29.600,1300,CH20FD_A,State Change,,J 00,SCM,Running,
3/3/2025 23:48:29.000,1300,CH20FD_A,Start,,J 00,SCM,,
3/3/2025 23:48:28.800,1300,INERT_A,State Change,,J 00,SCM,Running,
3/3/2025 23:48:28.500,1300,INERT_A,Start,,J 00,SCM,CHILD,
3/3/2025 23:48:27.600,1300,POLY_A,State Change,,J 00,SCM,Running,
3/3/2025 23:48:27.900,1300,POLY_A,Start,,J 00,SCM,CHILD,
3/3/2025 23:48:27.600,01,OP_SUPER_A,Start of Control,,J 00,POLY_A;$330013f222bd673d-0005;POLY_A,Idle;1;1;1,
