Date/Time of Report: 3/17/2025 12:31:07,,,,,,,,
Requester: STN03 - Oper,,,,,,,,
Filter Applied: Event Time: 1/10/2025,,,,,,,,
Sort Criteria: Event Time descending,,,,,,,,
Server: ESV-01B,,,,,,,,
"Tip: to see the full time in Excel, use a custom cell format:  d/mm/yyyy h:mm:ss.000",,,,,,,,
,,,,,,,,
,,,,,,,,
Event Time,Location Tag,Source,Condition,Action,Priority,Description,Value,Units
1/10/2025 23:59:47.626,8100,AI_PH10,ALARM,ACK PNT,,EFFULUENT CHANEL OLD W/S,,
1/10/2025 23:59:47.626,8100,AI_PH10,PVHIHI,ACK,,EFFULUENT CHANEL OLD W/S,,
1/10/2025 23:59:14.600,8100,AI_PH10,PVHIHI,,H 00,EFFULUENT CHANEL OLD W/S,9.77314,pH
1/10/2025 23:58:35.600,8100,AI_PH10,PVHIHI,OK,H 00,EFFULUENT CHANEL OLD W/S,8.61693,pH
1/10/2025 23:52:42.787,8100,AI_PH10,PVHIHI,ACK,,EFFULUENT CHANEL OLD W/S,,
1/10/2025 23:52:36.200,8100,AI_PH10,PVHIHI,,H 00,EFFULUENT CHANEL OLD W/S,9.63133,pH
1/10/2025 23:52:11.400,8100,AI_PH10,PVHIHI,OK,H 00,EFFULUENT CHANEL OLD W/S,8.65439,pH
1/10/2025 23:49:31.593,8500,FQC8104,ALARM,ACK PNT,,POLISHER FLOW,,
1/10/2025 23:49:31.593,8500,FQC8104,PVLOW,ACK,,VE8607,,
1/10/2025 23:46:44.700,8500,FQC8104,PVLOW,,L 00,VE8607,9.99866,m3/h
1/10/2025 23:16:54.100,1800,FAL1803,OFFNRM,OK,L 00,CO1801 SEAL,NORMAL,
1/10/2025 23:12:50.063,8500,FQC8104,PVLOW,ACK,,VE8607,,
1/10/2025 23:12:46.791,8800,TI8801,PVLOW,ACK,,BOILER BODY TEMP,,
1/10/2025 23:12:42.418,8800,PI8111,PVLOLO,ACK,,VE8803 FGC SUCTION DRUM,,
1/10/2025 23:10:15.800,8500,FQC8104,PVLOW,OK,L 00,VE8607,10.4735,m3/h
1/10/2025 23:09:01.964,1800,FAL1803,OFFNRM,ACK,,CO1801 SEAL,,
1/10/2025 23:08:48.300,1800,FAL1803,OFFNRM,,L 00,CO1801 SEAL,LOW,
1/10/2025 23:02:08.704,1400,LIC1402,CHANGE,,,pida.mode,AUTO,
1/10/2025 23:02:04.738,1400,LIC1402,CHANGE,,,PIDA.OP,0,%
1/10/2025 23:02:03.033,1400,LIC1402,CHANGE,,,pida.mode,MAN,
1/10/2025 23:01:23.900,1400,FIC1402,PVLOW,OK,L 00,CO1402 SEAL,8.3408,m3/h
1/10/2025 23:01:08.300,1400,FIC1402,PVLOLO,OK,H 00,CO1402 SEAL,2.70217,m3/h
1/10/2025 23:00:06.300,8400,FI8107PV,OFFNRM,OK,L 00,COOLING TOWER LOW LEVEL,OFF,
1/10/2025 22:46:26.213,1300,XSV1315A,CHANGE,,,devctla.gop,S1,
1/10/2025 22:45:17.423,1400,LIC1402,CHANGE,,,pida.mode,AUTO,
1/10/2025 22:45:10.132,1400,FIC1402,PVLOW,ACK,,CO1402 SEAL,,
1/10/2025 22:44:55.500,8800,PI8111,PVLOLO,,H 00,VE8803 FGC SUCTION DRUM,3.49976,kg/cm2G
1/10/2025 22:44:41.375,1400,FIC1402,PVLOLO,ACK,,CO1402 SEAL,,
1/10/2025 22:44:36.000,1400,FIC1402,PVLOLO,,H 00,CO1402 SEAL,1.69547,m3/h
1/10/2025 22:44:34.000,1400,FIC1402,PVLOW,,L 00,CO1402 SEAL,1.69837,m3/h
1/10/2025 22:43:00.500,1400,FIC1402,PVLOLO,OK,H 00,CO1402 SEAL,8.93689,m3/h
1/10/2025 22:43:00.400,1400,FIC1402,PVLOW,OK,L 00,CO1402 SEAL,8.93689,m3/h
1/10/2025 22:42:51.695,1800,LIC1802,ALARM,ACK PNT,,VE1802,,
1/10/2025 22:42:51.695,1800,LIC1802,PVLOW,ACK,,VE1802,,
1/10/2025 22:42:43.900,1800,LIC1802,PVLOW,OK,L 00,VE1802,0.110762,m
1/10/2025 22:42:37.000,1800,LIC1802,PVLOW,,L 00,VE1802,0.099785,m
1/10/2025 22:42:26.204,1800,LIC1802,ALARM,ACK PNT,,VE1802,,
1/10/2025 22:42:26.204,1800,LIC1802,PVLOW,ACK,,VE1802,,
1/10/2025 22:42:26.000,1800,LIC1802,PVLOW,OK,L 00,VE1802,0.105291,m
1/10/2025 22:42:22.600,1800,PT1805,PVLOW,OK,L 00,VE 1802 PRESSURE,2.18066,kg/cm2
1/10/2025 22:42:22.000,1800,LIC1802,PVLOW,,L 00,VE1802,0.0938127,m
