Date/Time of Report: 3/17/2025 10:52:59,,,,,,,,
Requester: STN03 - Oper,,,,,,,,
Filter Applied: Event Time: 3/12/2025,,,,,,,,
Sort Criteria: Event Time descending,,,,,,,,
Server: ESV-01B,,,,,,,,
"Tip: to see the full time in Excel, use a custom cell format:  d/mm/yyyy h:mm:ss.000",,,,,,,,
,,,,,,,,
,,,,,,,,
Event Time,Location Tag,Source,Condition,Action,Priority,Description,Value,Units
3/12/2025 23:59:56.200,8100,AI_PH10,PVHIHI,,H 00,EFFULUENT CHANEL OLD W/S,9.04135,pH
3/12/2025 23:59:09.132,1300,FI1323B,BAD PV,ACK,,RE1301B FLUSHING,,
3/12/2025 23:58:52.753,1300,XSV1321A,CHANGE,,,devctla.gop,S0,
3/12/2025 23:58:50.429,1300,XSV1325A,CHANGE,,,devctla.gop,S0,
3/12/2025 23:58:29.299,1300,XSV1325B,CHANGE,,,devctla.gop,S0,
3/12/2025 23:58:25.764,1300,XSV1323B,CHANGE,,,devctla.gop,S0,
3/12/2025 23:58:21.836,1300,FQC1324B,CHANGE,,,pida.op,0,%
3/12/2025 23:57:04.900,1300,FI1323B,BAD PV,OK,L 00,RE1301B FLUSHING,3751.22,l/h
3/12/2025 23:56:43.646,1300,FQC1324B,CHANGE,,,pida.op,20,%
3/12/2025 23:56:42.306,1300,FQC1324B,CHANGE,,,pida.mode,MAN,
3/12/2025 23:56:39.136,1300,XSV1323B,CHANGE,,,devctla.gop,S1,
3/12/2025 23:56:24.736,1300,XSV1323B,CHANGE,,,Devctla.mode,MAN,
3/12/2025 23:56:23.821,1600,FQ1601,CHANGE,,,Totalizer.COMMAND,RESET,
3/12/2025 23:56:13.200,1300,FG1324A,PVLOLO,OK,J 00,CH2 LINE FPW POLY A,155.265,L/h
3/12/2025 23:56:13.100,1300,FG1324A,PVLOW,OK,J 00,CH2 LINE FPW POLY A,155.265,L/h
3/12/2025 23:56:12.806,1300,XSV1325A,CHANGE,,,devctla.gop,S1,
3/12/2025 23:56:11.784,1300,XSV1321A,CHANGE,,,devctla.gop,S1,
3/12/2025 23:55:58.900,1300,FI1323B,BAD PV,,L 00,RE1301B FLUSHING,,l/h
3/12/2025 23:55:54.425,1300,XSV1325B,CHANGE,,,devctla.gop,S1,
3/12/2025 23:55:53.019,1300,XSV1325B,CHANGE,,,Devctla.mode,MAN,
3/12/2025 23:53:49.888,8800,YI8841,OFFNRM,ACK,,PURGE DEMAND,,
3/12/2025 23:53:46.447,8800,FLS8831S,BADCTL,ACK,,HSD/FG TRANSRATE SELECT,,
3/12/2025 23:53:44.970,8800,HTR8801,OFFNRM,ACK,,FD IGNITION,,
3/12/2025 23:53:41.511,8800,YI8802,OFFNRM,ACK,,BOILER AUTO MODE,,
3/12/2025 23:50:55.700,8800,YI8802,OFFNRM,,L 00,BOILER AUTO MODE,MAN,
3/12/2025 23:50:55.200,8800,HTR8801,OFFNRM,OK,L 00,FD IGNITION,NORMAL,
3/12/2025 23:50:53.000,8800,HTR8801,OFFNRM,,L 00,FD IGNITION,IGNITION,
3/12/2025 23:50:42.100,8800,HTR8801,OFFNRM,OK,L 00,FD IGNITION,NORMAL,
3/12/2025 23:50:35.800,8800,FLS8831S,BADCTL,,L 00,HSD/FG TRANSRATE SELECT,,
3/12/2025 23:50:32.100,8800,HTR8801,OFFNRM,,L 00,FD IGNITION,IGNITION,
3/12/2025 23:50:17.900,8800,YI8841,OFFNRM,OK,L 00,PURGE DEMAND,NORMAL,
3/12/2025 23:49:50.300,8800,FLS8831S,BADCTL,OK,L 00,HSD/FG TRANSRATE SELECT,,
3/12/2025 23:49:38.200,8800,YI8841,OFFNRM,,L 00,PURGE DEMAND,PURGE,
