Date/Time of Report: 3/17/2025 11:02:00,,,,,,,,
Requester: STN03 - Oper,,,,,,,,
Filter Applied: Event Time: 2/19/2025,,,,,,,,
Sort Criteria: Event Time descending,,,,,,,,
Server: ESV-01B,,,,,,,,
"Tip: to see the full time in Excel, use a custom cell format:  d/mm/yyyy h:mm:ss.000",,,,,,,,
,,,,,,,,
,,,,,,,,
Event Time,Location Tag,Source,Condition,Action,Priority,Description,Value,Units
2/19/2025 23:59:46.100,01,OP_SUPER_B,Release,,J 00,POLYREC_B;$330013f21bdf341e-0005,SYSTEM:SCM;1,
2/19/2025 23:59:46.400,01,OP_SUPER_B,End of Control,,J 00,POLYREC_B;$330013f21bdf341e-0005,Idle;1;1;1,
2/19/2025 23:59:46.200,1300,HEATUP2_B,State Change,,J 00,SCM,Idle,
2/19/2025 23:59:46.649,1900,PI1904,PVLOW,ACK,,PA HEADER,,
2/19/2025 23:59:46.800,1300,POLYREC_B,State Change,,J 00,SCM,Idle,
2/19/2025 23:59:45.100,1300,HEATUP2_B,End,,J 00,SCM,,
2/19/2025 23:59:45.000,1300,HEATUP2_B,State Change,,J 00,SCM,Complete,
2/19/2025 23:59:45.600,1300,POLYREC_B,End,,J 00,SCM,,
2/19/2025 23:59:45.600,1300,POLYREC_B,State Change,,J 00,SCM,Complete,
2/19/2025 23:59:42.200,8400,FI8107PV,OFFNRM,OK,L 00,COOLING TOWER LOW LEVEL,OFF,
2/19/2025 23:59:37.900,1100,LI1107,BAD PV,,J 00,VE1101,,m
2/19/2025 23:59:36.200,1100,LI1107,BAD PV,OK,J 00,VE1101,-0.115711,m
2/19/2025 23:59:29.800,1900,PI1904,PVLOW,,L 00,PA HEADER,4.99845,kg/cm2G
2/19/2025 23:59:27.300,1100,LI1107,BAD PV,,J 00,VE1101,,m
2/19/2025 23:59:26.200,1100,LI1107,BAD PV,OK,J 00,VE1101,-0.114851,m
2/19/2025 23:59:20.200,1100,LI1107,BAD PV,,J 00,VE1101,,m
2/19/2025 23:59:19.100,1100,LI1107,BAD PV,OK,J 00,VE1101,-0.1138,m
2/19/2025 23:58:41.261,1600,OFSPCTM1,CHANGE,,,Timer.COMMAND,RESTART,
2/19/2025 23:58:39.500,1100,LI1107,BAD PV,,J 00,VE1101,,m
2/19/2025 23:58:36.500,1100,LI1107,BAD PV,OK,J 00,VE1101,-0.115137,m
2/19/2025 23:58:34.800,1100,LI1107,BAD PV,,J 00,VE1101,,m
2/19/2025 23:58:33.700,1100,LI1107,BAD PV,OK,J 00,VE1101,-0.113991,m
2/19/2025 23:58:32.100,1100,LI1107,BAD PV,,J 00,VE1101,,m
2/19/2025 23:58:32.494,1600,XSV1602,CHANGE,,,devctla.gop,S0,
2/19/2025 23:58:31.600,1100,LI1107,BAD PV,OK,J 00,VE1101,-0.1138,m
2/19/2025 23:58:31.263,1300,FIC1316A,CHANGE,,,pida.mode,AUTO,
