Date/Time of Report: 3/17/2025 11:58:12,,,,,,,,
Requester: STN03 - Oper,,,,,,,,
Filter Applied: Event Time: 1/26/2025,,,,,,,,
Sort Criteria: Event Time descending,,,,,,,,
Server: ESV-01B,,,,,,,,
"Tip: to see the full time in Excel, use a custom cell format:  d/mm/yyyy h:mm:ss.000",,,,,,,,
,,,,,,,,
,,,,,,,,
Event Time,Location Tag,Source,Condition,Action,Priority,Description,Value,Units
1/26/2025 23:58:36.505,SERVER_PVC,CONSOLE STATION 4-1,LEVEL,,,Security level,Oper,
1/26/2025 23:58:36.505,SERVER_PVC,CONSOLE STATION 4-1,LEVEL,,,Security level (IKB Key Switch),View Only,
1/26/2025 23:57:41.635,1300,PLYPRSDEVALA,OFFNRM,ACK,,POLY-A PRESS DEVIAT. AL,,
1/26/2025 23:57:40.442,1400,LIC1401,PVHIGH,ACK,,VE1401,,
1/26/2025 23:57:25.100,IOLINK04_1,AIOR-704,OP Fail in circuit/field wire,OK,H 15,,Channel_18_B,
1/26/2025 23:57:24.000,01,EIP0206R,OFFNRM,,J 00,BPO007 A REPORT REQUEST,ON,
1/26/2025 23:57:23.607,1300,TIC1301A,DEVHI,ACK,,RE1301A,,
1/26/2025 23:57:07.388,1400,TIC1401,PVLOW,ACK,,VE1401,,
1/26/2025 23:56:18.600,1300,QR1301A,BAD PV,OK,J 00,RE1301A QJ+QC,18174.6,Mcal
1/26/2025 23:56:10.300,1300,EI1301A,PVHIGH,OK,J 00,MX1301A-1 CURRENT,22.6023,amp
1/26/2025 23:56:09.300,1300,EI1301A,PVHIGH,,J 00,MX1301A-1 CURRENT,57.1847,amp
1/26/2025 23:56:07.600,1300,QR1301A,BAD PV,,J 00,RE1301A QJ+QC,,Mcal
1/26/2025 23:56:00.400,1300,FG1324A,PVLOLO,OK,J 00,CH2 LINE FPW POLY A,190.424,L/h
1/26/2025 23:56:00.300,1300,FG1324A,PVLOW,OK,J 00,CH2 LINE FPW POLY A,190.424,L/h
1/26/2025 23:55:54.700,1300,QR1301A,BAD PV,OK,J 00,RE1301A QJ+QC,20229.4,Mcal
1/26/2025 23:55:43.800,1400,TIC1401,PVLOW,,L 00,VE1401,16.9374,DegC
1/26/2025 23:55:39.700,1300,QR1301A,BAD PV,,J 00,RE1301A QJ+QC,,Mcal
1/26/2025 23:55:38.300,1300,TIC1301A_DEV,OFFNRM,,J 00,TIC1301A DEVIATION HIGH,ON,
1/26/2025 23:55:37.300,1300,TIC1301A,DEVHI,,L 00,RE1301A,9.97339,DegC
1/26/2025 23:55:33.300,1900,FI1901B,BAD PV,,J 00,STEAM HEADER FROM BOILER,,kg/h
