Date/Time of Report: 3/18/2025 11:47:43,,,,,,,,
Requester: .\experionadmin,,,,,,,,
Filter Applied: Event Time: 2/8/2025,,,,,,,,
Sort Criteria: Event Time descending,,,,,,,,
Server: ESV01A,,,,,,,,
"Tip: to see the full time in Excel, use a custom cell format:  d/mm/yyyy h:mm:ss.000",,,,,,,,
,,,,,,,,
,,,,,,,,
Event Time,Location Tag,Source,Condition,Action,Priority,Description,Value,Units
2/8/2025 23:59:29.300,3100,VE_3118_PRE_MON_CM,INFORMATION MESSAGE,,,GAS LINE N2 CHARGE START,,
2/8/2025 23:59:22.900,3200,TI_3226,ROCPOS,OK,J 00,DR-3201 MIDDLE TEMPERATURE,,
2/8/2025 23:59:18.700,3200,TI_3226,ROCPOS,,J 00,DR-3201 MIDDLE TEMPERATURE,,
2/8/2025 23:58:34.000,3200,TI_3226,ROCPOS,OK,J 00,DR-3201 MIDDLE TEMPERATURE,,
2/8/2025 23:58:30.300,3200,TI_3226,ROCPOS,,J 00,DR-3201 MIDDLE TEMPERATURE,,
2/8/2025 23:56:42.100,3200,TI_3226,ROCPOS,OK,J 00,DR-3201 MIDDLE TEMPERATURE,,
2/8/2025 23:56:38.600,3200,TI_3226,ROCPOS,,J 00,DR-3201 MIDDLE TEMPERATURE,,
2/8/2025 23:56:26.700,3200,TI_3226,ROCPOS,OK,J 00,DR-3201 MIDDLE TEMPERATURE,,
2/8/2025 23:56:22.300,3200,TI_3226,ROCPOS,,J 00,DR-3201 MIDDLE TEMPERATURE,,
2/8/2025 23:56:10.971,CT4,CT4_FM6001A,CHANGE,,,devctla.gop,S0,
2/8/2025 23:55:54.300,3200,TI_3226,ROCPOS,OK,J 00,DR-3201 MIDDLE TEMPERATURE,,
2/8/2025 23:55:53.476,ESV01,File Replication,REPLICATION,,J 00,Filerep #1 replicating.,,
2/8/2025 23:55:50.600,3200,TI_3226,ROCPOS,,J 00,DR-3201 MIDDLE TEMPERATURE,,
2/8/2025 23:55:30.300,3200,TI_3226,ROCPOS,OK,J 00,DR-3201 MIDDLE TEMPERATURE,,
2/8/2025 23:55:26.507,CT4,CT4_FM6001A,CHANGE,,,devctla.gop,S1,
2/8/2025 23:55:26.500,3200,TI_3226,ROCPOS,,J 00,DR-3201 MIDDLE TEMPERATURE,,
2/8/2025 23:55:14.000,3200,TI_3226,ROCPOS,OK,J 00,DR-3201 MIDDLE TEMPERATURE,,
2/8/2025 23:55:10.100,3200,TI_3226,ROCPOS,,J 00,DR-3201 MIDDLE TEMPERATURE,,
2/8/2025 23:54:31.321,3700,PI_37203,PVHI,OK,L 00,DEAERATOR PRESSURE,7.95785,KPa
2/8/2025 23:54:28.809,3100,XV_3186,CHANGE,,,devctla.gop,S0,
2/8/2025 23:54:09.324,3100,XV_3179,CHANGE,,,devctla.gop,S0,
2/8/2025 23:54:06.100,3200,TI_3226,ROCPOS,OK,J 00,DR-3201 MIDDLE TEMPERATURE,,
2/8/2025 23:53:58.300,3200,TI_3226,ROCPOS,,J 00,DR-3201 MIDDLE TEMPERATURE,,
2/8/2025 23:53:42.760,CE3201B DO,CE3201B DO,COMMS,,U 00,CONTROLLER 012 failed,Failed,
2/8/2025 23:53:22.753,3700,PI_37203,PVHI,,L 00,DEAERATOR PRESSURE,14.4581,KPa
