Date/Time of Report: 3/18/2025 11:31:38,,,,,,,,
Requester: .\experionadmin,,,,,,,,
Filter Applied: Event Time: 1/8/2025,,,,,,,,
Sort Criteria: Event Time descending,,,,,,,,
Server: ESV01A,,,,,,,,
"Tip: to see the full time in Excel, use a custom cell format:  d/mm/yyyy h:mm:ss.000",,,,,,,,
,,,,,,,,
,,,,,,,,
Event Time,Location Tag,Source,Condition,Action,Priority,Description,Value,Units
1/8/2025 23:59:53.500,3200,TI_3226,ROCPOS,,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/8/2025 23:59:49.800,3100,ZL_3184B,OFFNRM,OK,J 00,RE-3101B AGITATOR POSITION INDICATOR,OFF,
1/8/2025 23:59:48.500,3100,ZL_3184B,OFFNRM,,J 00,RE-3101B AGITATOR POSITION INDICATOR,ON,
1/8/2025 23:59:45.900,3200,TI_3226,ROCPOS,OK,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/8/2025 23:59:42.700,3100,VCM_REC_STA_CM,INFORMATION MESSAGE,,,VCM RECEIVE INTERUPT,,
1/8/2025 23:59:41.900,3200,TI_3226,ROCPOS,,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/8/2025 23:59:23.000,3100,RE_B_REA_MON_CM,INFORMATION MESSAGE,,,RE-B REACTION PRESSURE LOW,,
1/8/2025 23:59:05.900,3200,TI_3226,ROCPOS,OK,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/8/2025 23:59:04.200,3100,HDW_MAK_UP_CM,INFORMATION MESSAGE,,,HDW TANK IS READY OK,,
1/8/2025 23:59:01.800,3100,HDW_MAK_UP_CM,INFORMATION MESSAGE,,,HDW RECEIVE END,,
1/8/2025 23:58:58.800,3200,LIC_3204,PVLOW,,L 00,TW-3201 LEVEL,9.40962,%
1/8/2025 23:58:57.100,3200,TI_3226,ROCPOS,,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/8/2025 23:58:52.500,3300,PI_3334,PVLOW,,L 00,TW-3301 TOP PRESSURE,0.580121,kPaG
1/8/2025 23:58:41.000,3300,LIC_3316,PVLOLO,,H 00,TW-3301 LEVEL,-0.597987,%
1/8/2025 23:58:41.800,3200,TI_3226,ROCPOS,OK,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/8/2025 23:58:35.100,3200,TI_3202,PVHIGH,OK,L 00,TW-3201 NO.2 TRAY  TEMPERATURE,108.303,°C
1/8/2025 23:58:33.000,3200,TI_3226,ROCPOS,,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/8/2025 23:58:25.500,3200,TI_3226,ROCPOS,OK,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/8/2025 23:58:21.500,3200,TI_3226,ROCPOS,,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/8/2025 23:58:19.600,3100,ZL_3184B,OFFNRM,OK,J 00,RE-3101B AGITATOR POSITION INDICATOR,OFF,
1/8/2025 23:58:18.100,3100,ZL_3184B,OFFNRM,,J 00,RE-3101B AGITATOR POSITION INDICATOR,ON,
1/8/2025 23:57:56.865,3200,TI_3202,ALARM,ACK PNT,,TW-3201 NO.2 TRAY  TEMPERATURE,,
1/8/2025 23:57:56.865,3200,TI_3202,PVHIGH,ACK,,TW-3201 NO.2 TRAY  TEMPERATURE,,
1/8/2025 23:57:56.865,3200,LIC_3204,ALARM,ACK PNT,,TW-3201 LEVEL CONTROL,,
1/8/2025 23:57:56.865,3200,LIC_3204,PVLOW,ACK,,TW-3201 LEVEL,,
1/8/2025 23:57:50.500,3200,LIC_3204,PVLOW,OK,L 00,TW-3201 LEVEL,11.65,%
1/8/2025 23:57:49.100,3200,TI_3226,ROCPOS,OK,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/8/2025 23:57:48.932,3200,XV_3211,CHANGE,,,devctla.gop,S0,
1/8/2025 23:57:37.694,3200,XV_3211,CHANGE,,,devctla.gop,S1,
1/8/2025 23:57:15.200,3200,TI_3202,PVHIGH,,L 00,TW-3201 NO.2 TRAY  TEMPERATURE,110.003,°C
1/8/2025 23:57:13.500,3200,TI_3226,ROCPOS,,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/8/2025 23:57:01.700,3100,ZL_3184B,OFFNRM,OK,J 00,RE-3101B AGITATOR POSITION INDICATOR,OFF,
1/8/2025 23:56:59.900,3100,ZL_3184B,OFFNRM,,J 00,RE-3101B AGITATOR POSITION INDICATOR,ON,
1/8/2025 23:56:56.925,ESV01,File Replication,REPLICATION,,J 00,Filerep #1 replicating.,,
1/8/2025 23:56:30.820,3700,PI_37203,PVHI,OK,L 00,DEAERATOR PRESSURE,7.83111,KPa
1/8/2025 23:56:25.530,3700,PI_37203,PVHH,OK,H 00,DEAERATOR PRESSURE,12.4211,KPa
1/8/2025 23:56:15.400,3100,ZL_3184B,OFFNRM,OK,J 00,RE-3101B AGITATOR POSITION INDICATOR,OFF,
1/8/2025 23:56:14.700,3100,ZL_3184B,OFFNRM,,J 00,RE-3101B AGITATOR POSITION INDICATOR,ON,
1/8/2025 23:55:54.604,3700,LI_3742,PVHI,,L 00,INTERMEDIATE TANK LEVEL 2,5.875,m
1/8/2025 23:55:49.581,3700,PI_37203,PVHI,,L 00,DEAERATOR PRESSURE,14.3948,KPa
1/8/2025 23:55:44.760,3300,PU_3303A,CHANGE,,,devctla.gop,S0,
1/8/2025 23:55:41.000,3100,ZL_3184A,OFFNRM,OK,J 00,RE-3101A AGITATOR POSITION INDICATOR,OFF,
1/8/2025 23:55:39.533,3300,XV_3311,CHANGE,,,devctla.gop,S0,
1/8/2025 23:55:37.216,3700,PI_37203,PVHH,,H 00,DEAERATOR PRESSURE,16.3231,KPa
1/8/2025 23:55:37.700,3200,TI_3226,ROCPOS,OK,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/8/2025 23:55:30.700,3100,ZL_3184B,OFFNRM,OK,J 00,RE-3101B AGITATOR POSITION INDICATOR,OFF,
1/8/2025 23:55:30.400,3100,ZL_3184A,OFFNRM,,J 00,RE-3101A AGITATOR POSITION INDICATOR,ON,
1/8/2025 23:55:29.800,3100,ZL_3184B,OFFNRM,,J 00,RE-3101B AGITATOR POSITION INDICATOR,ON,
1/8/2025 23:55:28.500,3300,LI_3312,PVLOW,OK,L 00,VE-3302 LEVEL,31.0055,%
1/8/2025 23:55:18.249,3100,TM_311002B,RSHI,,J 00,Defrost procees Timing_1,110,
1/8/2025 23:55:13.100,3200,TI_3226,ROCPOS,,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/8/2025 23:55:05.600,3200,TI_3226,ROCPOS,OK,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/8/2025 23:55:04.800,3200,LIC_3204,PVLOW,,L 00,TW-3201 LEVEL,9.95024,%
1/8/2025 23:55:01.004,3700,TI_37203,PVHI,OK,L 00,BOILER FEED WATER TEMPERATURE,147.905,°C
1/8/2025 23:54:57.700,3300,PI_3334,PVLOW,OK,L 00,TW-3301 TOP PRESSURE,2.85391,kPaG
1/8/2025 23:54:51.200,3100,RE_A_NS_SPR_CM,INFORMATION MESSAGE,,,RE-A NS FOR REFLUX CONDENSER END,,
1/8/2025 23:54:48.800,3200,TI_3202,PVHIGH,OK,L 00,TW-3201 NO.2 TRAY  TEMPERATURE,108.323,°C
1/8/2025 23:54:46.900,3100,ZL_3184B,OFFNRM,OK,J 00,RE-3101B AGITATOR POSITION INDICATOR,OFF,
1/8/2025 23:54:45.300,3100,ZL_3184B,OFFNRM,,J 00,RE-3101B AGITATOR POSITION INDICATOR,ON,
1/8/2025 23:54:43.896,3300,PIC_3304,ALARM,ACK PNT,,HE-3302 TUBE SIDE PRESSURE CONTROL,,
1/8/2025 23:54:43.896,3300,PIC_3304,PVLOW,ACK,,HE-3302 TUBE SIDE PRESSURE,,
1/8/2025 23:54:42.503,3300,XV_3311,CHANGE,,,devctla.gop,S1,
1/8/2025 23:54:41.200,3300,PI_3334,PVLOW,,L 00,TW-3301 TOP PRESSURE,0.149075,kPaG
1/8/2025 23:54:38.543,3300,XV_3311,CHANGE,,,devctla.modeattr,OPERATOR,
1/8/2025 23:54:37.900,3200,TI_3226,ROCPOS,,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/8/2025 23:54:31.266,3300,PU_3303A,CHANGE,,,devctla.gop,S1,
1/8/2025 23:54:30.078,3300,PU_3303A,CHANGE,,,devctla.modeattr,OPERATOR,
1/8/2025 23:54:06.200,3200,LIC_3204,PVLOW,OK,L 00,TW-3201 LEVEL,11.9459,%
1/8/2025 23:54:05.100,3100,ZL_3184B,OFFNRM,OK,J 00,RE-3101B AGITATOR POSITION INDICATOR,OFF,
1/8/2025 23:54:04.200,3100,ZL_3184B,OFFNRM,,J 00,RE-3101B AGITATOR POSITION INDICATOR,ON,
1/8/2025 23:54:04.174,3200,XV_3211,CHANGE,,,devctla.gop,S0,
1/8/2025 23:53:57.200,3200,TI_3202,PVHIGH,,L 00,TW-3201 NO.2 TRAY  TEMPERATURE,110.006,°C
1/8/2025 23:53:54.660,3200,XV_3211,CHANGE,,,devctla.gop,S1,
1/8/2025 23:53:52.406,3200,XV_3211,CHANGE,,,devctla.modeattr,OPERATOR,
