Date/Time of Report: 3/17/2025 10:51:37,,,,,,,,
Requester: STN03 - Oper,,,,,,,,
Filter Applied: Event Time: 3/10/2025,,,,,,,,
Sort Criteria: Event Time descending,,,,,,,,
Server: ESV-01B,,,,,,,,
"Tip: to see the full time in Excel, use a custom cell format:  d/mm/yyyy h:mm:ss.000",,,,,,,,
,,,,,,,,
,,,,,,,,
Event Time,Location Tag,Source,Condition,Action,Priority,Description,Value,Units
3/10/2025 23:59:12.195,1300,FIC1316B,CHANGE,,,PIDA.SP,197.306,m3/h
3/10/2025 23:59:08.017,1300,FIC1316B,CHANGE,,,pida.mode,AUTO,
3/10/2025 23:58:51.788,1300,LI1301,CHANGE,,,daca.pvsource,AUTO,
3/10/2025 23:58:43.265,1400,FI1406,BAD PV,ACK,,PU1403 MIN FLOW,,
3/10/2025 23:56:58.100,01,EIP0225R,OFFNRM,,J 00,BPO026 A REPORT REQUEST,ON,
3/10/2025 23:56:55.500,1400,FI1406,BAD PV,,L 00,PU1403 MIN FLOW,,kg/Hr
3/10/2025 23:56:54.359,1700,TI1701,PVHIGH,ACK,,RF1701 DELIVERY,,
3/10/2025 23:56:25.600,1700,TI1701,PVHIGH,,L 00,RF1701 DELIVERY,9.00223,DegC
3/10/2025 23:51:42.696,1300,FIC1316B,CHANGE,,,PIDA.SP,191.306,m3/h
3/10/2025 23:51:41.979,1300,FIC1316B,CHANGE,,,pida.mode,AUTO,
3/10/2025 23:51:30.257,1500,NAOHFEED_CM,MESSAGE,ACK,,CALCU RATION CHECK,,
3/10/2025 23:51:21.200,1500,NAOHFEED_CM,INFORMATION MESSAGE,,,CALCU RATION CHECK,,
3/10/2025 23:51:00.946,1400,LIC1402,PVHIGH,ACK,,VE1402,,
3/10/2025 23:50:22.600,1400,TIC1402,PVLOW,OK,L 00,VE1402,31.0129,DegC
3/10/2025 23:49:49.000,1400,LIC1402,PVHIGH,OK,L 00,VE1402,0.424716,m
3/10/2025 23:49:15.700,1400,LIC1402,PVHIGH,,L 00,VE1402,0.430091,m
3/10/2025 23:46:52.400,1500,PI1512,PVLOW,OK,J 00,DR1501 INSIDE,270.219,mmH2O
3/10/2025 23:46:51.200,01,EVENT_SCM1,ChOfSt,,J 00,RDYINIT_T1,OFF,
3/10/2025 23:46:49.853,1300,RDYINIT_CM,MESSAGE,CNF,,CHARGE CATALYST TO CAT TANK & FINISH,,
