Date/Time of Report: 3/17/2025 10:55:42,,,,,,,,
Requester: STN03 - Oper,,,,,,,,
Filter Applied: Event Time: 3/13/2025,,,,,,,,
Sort Criteria: Event Time descending,,,,,,,,
Server: ESV-01B,,,,,,,,
"Tip: to see the full time in Excel, use a custom cell format:  d/mm/yyyy h:mm:ss.000",,,,,,,,
,,,,,,,,
,,,,,,,,
Event Time,Location Tag,Source,Condition,Action,Priority,Description,Value,Units
3/13/2025 23:57:10.878,8700,AI8102,PVLOW,ACK,,PT8705 PH,,
3/13/2025 23:56:31.500,8700,AI8102,PVLOW,,H 00,PT8705 PH,6.79582,ph
3/13/2025 23:55:04.748,1400,FI1406,BAD PV,ACK,,PU1403 MIN FLOW,,
3/13/2025 23:54:57.400,1400,FI1406,BAD PV,,L 00,PU1403 MIN FLOW,,kg/Hr
3/13/2025 23:49:09.100,8700,AI8102,PVHIGH,OK,H 00,PT8705 PH,8.15733,ph
3/13/2025 23:46:28.598,1500,FIC1501,CHANGE,,,PIDA.SP,57,t/h
3/13/2025 23:44:54.300,01,EVENT_SCM1,ChOfSt,,J 00,CH18FEED_A_T1,ON,
3/13/2025 23:44:54.400,01,EVENT_SCM1,ChOfSt,,J 00,POLYINIT_A_T1,ON,
3/13/2025 23:44:54.900,1100,CATWASH_B,State Change,,J 00,SCM,Idle,
3/13/2025 23:44:53.400,01,EVENT_SCM1B,ChOfSt,,J 00,CATWASH_A_T1,ON,
3/13/2025 23:44:53.800,01,EVENT_SCM1A,ChOfSt,,J 00,PWFEED_A_T1,ON,
3/13/2025 23:44:53.800,01,EVENT_SCM1A,ChOfSt,,J 00,VCMFEED_A_T1,ON,
3/13/2025 23:44:53.600,01,EVENT_SCM1A,ChOfSt,,J 00,HEATUP_A_T1,ON,
3/13/2025 23:44:53.500,01,EVENT_SCM1A,OFFNRM,OK,J 00,,OFF,
3/13/2025 23:44:53.500,01,EVENT_SCM1A,OFFNRM,OK,J 00,,OFF,
3/13/2025 23:44:53.700,01,EVENT_SCM1A,OFFNRM,OK,J 00,,OFF,
3/13/2025 23:44:53.000,01,EVENT_SCM1A,OFFNRM,OK,J 00,,OFF,
3/13/2025 23:44:53.000,01,EVENT_SCM1A,OFFNRM,OK,J 00,,OFF,
3/13/2025 23:44:53.400,01,EVENT_SCM1,ChOfSt,,J 00,AVCHK_A_T1,ON,
3/13/2025 23:44:53.400,01,EVENT_SCM1,ChOfSt,,J 00,AG1FEED_A_T1,ON,
3/13/2025 23:44:53.600,01,EVENT_SCM1,ChOfSt,,J 00,AG2FEED_A_T1,ON,
3/13/2025 23:44:53.100,01,EVENT_SCM1,ChOfSt,,J 00,AG3FEED_A_T1,ON,
3/13/2025 23:44:53.300,01,EVENT_SCM1,ChOfSt,,J 00,AFCOAT_A_T1,ON,
3/13/2025 23:44:53.200,01,EVENT_SCM1,ChOfSt,,J 00,POLYCHK_A_T1,ON,
3/13/2025 23:44:53.100,01,EVENT_SCM1,ChOfSt,,J 00,AVPW_A_T1,ON,
3/13/2025 23:44:53.200,01,EVENT_SCM1,ChOfSt,,J 00,AIRTOVCM_A_T1,ON,
3/13/2025 23:44:53.900,1100,CATWASH_B,End,,J 00,SCM,,
3/13/2025 23:44:53.800,1100,CATWASH_B,State Change,,J 00,SCM,Complete,
3/13/2025 23:44:53.600,01,EIP0317R,OFFNRM,,J 00,BPO018 B REPORT REQUEST,ON,
3/13/2025 23:44:52.400,01,EVENT_SCM1,ChOfSt,,J 00,RDYINIT_T1,ON,
3/13/2025 23:44:23.587,1400,FI1406,PVLOW,ACK,,PU1403 MIN FLOW,,
3/13/2025 23:43:46.400,8700,AI8102,PVHIHI,OK,H 00,PT8705 PH,8.85899,ph
3/13/2025 23:40:48.000,1400,FI1406,PVLOW,,H 00,PU1403 MIN FLOW,,kg/Hr
3/13/2025 23:40:23.089,1500,TI1504,PVLOW,ACK,,TW1501 MIDDLE,,
3/13/2025 23:40:17.700,1500,TI1504,PVLOW,,L 00,TW1501 MIDDLE,64.9883,DegC
3/13/2025 23:39:33.000,1400,FI1406,PVLOW,OK,H 00,PU1403 MIN FLOW,622.854,kg/Hr
3/13/2025 23:39:27.700,1300,ALMMNG2,OFFNRM,OK,L 00,TIC1301B DEV LO Alarm,OFF,
3/13/2025 23:39:27.200,1300,TIC1301B,DEVLOW,OK,J 00,RE1301B,-0.497996,DegC
3/13/2025 23:37:40.986,1500,TI1507,PVLOW,ACK,,TW1501 BOTTOM,,
3/13/2025 23:37:39.989,1500,TI1507,PVLOW,ACK,,TW1501 BOTTOM,,
3/13/2025 23:37:33.100,1500,TI1507,PVLOW,,L 00,TW1501 BOTTOM,74.9395,DegC
3/13/2025 23:37:25.705,1500,FIC1501,CHANGE,,,PIDA.SP,55,t/h
3/13/2025 23:35:36.500,1500,TI1507,PVLOW,OK,L 00,TW1501 BOTTOM,76.5312,DegC
3/13/2025 23:35:01.000,01,EIP0320R,OFFNRM,,J 00,BPO021 B REPORT REQUEST,ON,
3/13/2025 23:34:57.700,01,EVENT_SCM2A,ChOfSt,,J 00,INERT_B_T1,ON,
3/13/2025 23:34:56.200,01,EIP0319R,OFFNRM,,J 00,BPO020 B REPORT REQUEST,ON,
3/13/2025 23:34:50.785,1300,ALMMNG2,OFFNRM,ACK,,TIC1301B DEV LO Alarm,,
3/13/2025 23:34:43.600,1300,ALMMNG2,OFFNRM,,L 00,TIC1301B DEV LO Alarm,ON,
3/13/2025 23:34:28.200,1300,TIC1301B,DEVLOW,,J 00,RE1301B,-1.12068,DegC
3/13/2025 23:33:35.100,1300,TIC1301B_DEV,OFFNRM,OK,J 00,TIC1301B DEVIATION HIGH,OFF,
3/13/2025 23:33:34.200,1300,TIC1301B,DEVHI,OK,L 00,RE1301B,-0.178075,DegC
3/13/2025 23:33:24.800,01,EIP0318R,OFFNRM,,J 00,BPO019 B REPORT REQUEST,ON,
3/13/2025 23:28:29.005,1500,FIC1501,CHANGE,,,PIDA.SP,53,t/h
3/13/2025 23:27:58.300,1300,TRANSCHK_CM,CONFIRMABLE MESSAGE,,,SLURRY TRANSFER START OK?,,
3/13/2025 23:27:55.400,01,EVENT_SCM2B,ChOfSt,,J 00,FILWASH_B_T1,OFF,
3/13/2025 23:27:55.300,01,EVENT_SCM2B,ChOfSt,,J 00,POLYREC_B_T1,OFF,
