Date/Time of Report: 3/17/2025 10:57:06,,,,,,,,
Requester: STN03 - Oper,,,,,,,,
Filter Applied: Event Time: 3/17/2025,,,,,,,,
Sort Criteria: Event Time descending,,,,,,,,
Server: ESV-01B,,,,,,,,
"Tip: to see the full time in Excel, use a custom cell format:  d/mm/yyyy h:mm:ss.000",,,,,,,,
,,,,,,,,
,,,,,,,,
Event Time,Location Tag,Source,Condition,Action,Priority,Description,Value,Units
3/17/2025 10:56:39.367,SERVER_PVC,,Demand,,,CSV export in progress...,,
3/17/2025 10:56:09.321,SERVER_PVC,,Demand,,,CSV export in progress...,,
3/17/2025 10:55:42.383,SERVER_PVC,,Demand,,,CSV export in progress...,,
3/17/2025 10:55:40.952,1300,AI1301,PVLOW,ACK,,VE1306 INLET,,
3/17/2025 10:55:33.900,1300,AI1301,PVLOW,,L 00,VE1306 INLET,5.99933,ph
3/17/2025 10:55:19.000,1200,TIC1203,PVLOLO,OK,H 00,HE1203 D/S TEMP,79.5071,C
3/17/2025 10:55:17.540,SERVER_PVC,,Demand,,,CSV export in progress...,,
3/17/2025 10:54:21.856,SERVER_PVC,,Demand,,,CSV export in progress...,,
3/17/2025 10:53:52.138,8100,AI_PH10,PVLOLO,ACK,,EFFULUENT CHANEL OLD W/S,,
3/17/2025 10:53:44.900,8100,AI_PH10,PVLOLO,,H 00,EFFULUENT CHANEL OLD W/S,6.06603,pH
3/17/2025 10:52:59.624,SERVER_PVC,,Demand,,,CSV export in progress...,,
3/17/2025 10:52:52.200,1300,TIC1301B,DEVLOW,,J 00,RE1301B,-1.00333,DegC
3/17/2025 10:52:26.886,SERVER_PVC,,Demand,,,CSV export in progress...,,
3/17/2025 10:52:14.197,SERVER_PVC,,Demand,,,CSV export in progress...,,
3/17/2025 10:51:37.586,SERVER_PVC,,Demand,,,CSV export in progress...,,
3/17/2025 10:51:20.608,8500,FQC8104,ALARM,ACK PNT,,POLISHER FLOW,,
3/17/2025 10:51:20.608,8500,FQC8104,PVLOW,ACK,,VE8607,,
3/17/2025 10:51:05.766,SERVER_PVC,,Demand,,,CSV export in progress...,,
3/17/2025 10:50:27.647,SERVER_PVC,,Demand,,,CSV export in progress...,,
3/17/2025 10:49:58.519,SERVER_PVC,,Demand,,,CSV export in progress...,,
3/17/2025 10:49:44.801,1500,FIC1501,CHANGE,,,PIDA.SP,47,t/h
3/17/2025 10:49:38.089,1500,LI1501A,CHANGE,,,daca.pvsource,MAN,
3/17/2025 10:49:21.470,SERVER_PVC,,Demand,,,CSV export in progress...,,
3/17/2025 10:48:53.519,1200,TIC1203,CHANGE,,,pida.mode,AUTO,
3/17/2025 10:48:51.767,1200,TIC1203,PVLOLO,ACK,,HE1203 D/S TEMP,,
3/17/2025 10:48:48.338,1200,TIC1203,PVLOW,ACK,,HE1203 D/S TEMP,,
3/17/2025 10:48:47.500,1200,TIC1203,PVLOLO,,H 00,HE1203 D/S TEMP,55.2337,C
3/17/2025 10:48:43.400,1200,TIC1203,PVLOW,,L 00,HE1203 D/S TEMP,55.2337,C
3/17/2025 10:48:43.631,SERVER_PVC,,Demand,,,CSV export in progress...,,
3/17/2025 10:48:10.634,SERVER_PVC,,Demand,,,CSV export in progress...,,
