Date/Time of Report: 3/17/2025 11:02:30,,,,,,,,
Requester: STN03 - Oper,,,,,,,,
Filter Applied: Event Time: 2/18/2025,,,,,,,,
Sort Criteria: Event Time descending,,,,,,,,
Server: ESV-01B,,,,,,,,
"Tip: to see the full time in Excel, use a custom cell format:  d/mm/yyyy h:mm:ss.000",,,,,,,,
,,,,,,,,
,,,,,,,,
Event Time,Location Tag,Source,Condition,Action,Priority,Description,Value,Units
2/18/2025 23:59:23.000,1500,EI1507,PVLOLO,OK,H 00,BL1503 CURRENT,140.611,amp
2/18/2025 23:57:40.318,1300,TIC1301B,DEVHI,ACK,,RE1301B,,
2/18/2025 23:57:19.000,1300,TIC1301B,DEVHI,,L 00,RE1301B,0.762551,DegC
2/18/2025 23:56:36.500,1300,TIC1301B,DEVLOW,OK,J 00,RE1301B,-0.484779,DegC
2/18/2025 23:55:13.675,1500,EI1507,PVLOLO,ACK,,BL1503 CURRENT,,
2/18/2025 23:55:08.000,1500,EI1507,PVLOLO,,H 00,BL1503 CURRENT,134.725,amp
2/18/2025 23:52:54.500,1900,FI1901B,BAD PV,,J 00,STEAM HEADER FROM BOILER,,kg/h
2/18/2025 23:52:23.800,1900,FT1901B,BAD PV,,J 00,STEAM HEADER FROM BOILER,,kg/h
2/18/2025 23:51:13.200,1500,EI1507,PVLOLO,OK,H 00,BL1503 CURRENT,141.251,amp
2/18/2025 23:49:27.500,01,EVENT_SCM1,ChOfSt,,J 00,RDYINIT_T1,OFF,
2/18/2025 23:49:26.194,1300,RDYINIT_CM,MESSAGE,CNF,,CHARGE CATALYST TO CAT TANK & FINISH,,
2/18/2025 23:49:24.207,1300,RDYINIT_CM,MESSAGE,ACK,,CHARGE CATALYST TO CAT TANK & FINISH,,
2/18/2025 23:49:16.000,1300,RDYINIT_CM,CONFIRMABLE MESSAGE,,,CHARGE CATALYST TO CAT TANK & FINISH,,
2/18/2025 23:49:01.600,1300,RDYINIT,State Change,,J 00,SCM,Running,
2/18/2025 23:49:01.800,1300,RDYINIT,Start,,J 00,SCM,CHILD,
2/18/2025 23:49:00.200,01,OP_RDYINIT,State Change,,J 00,RCM;$330013f21b703250-0004,Running,
2/18/2025 23:49:00.800,01,OP_RDYINIT,Start of Control,,J 00,RDYINIT;$330013f21b703250-0004;RDYINIT,Idle;1;1;1,
2/18/2025 23:49:00.000,01,OP_RDYINIT,Acquire,,J 00,RDYINIT;$330013f21b703250-0004,SYSTEM:SCM;1,
2/18/2025 23:49:00.400,01,OP_RDYINIT,Start,,J 00,RCM;$330013f21b703250-0004;$ACTIVITY_330013f21b703251,CHILD,
2/18/2025 23:48:58.100,01,UP_READY,State Change,,J 00,RCM;$330513f254792177-0020,Running,
2/18/2025 23:48:58.800,01,UP_READY,Start of Control,,J 00,OP_RDYINIT;$330513f254792177-0020;OP_RDYINIT,Idle;1;1;1,
2/18/2025 23:48:58.200,01,UP_READY,Acquire,,J 00,OP_RDYINIT;$330513f254792177-0020,SYSTEM:MASTERRECIPE;1,
2/18/2025 23:48:58.700,01,UP_READY,Start,,J 00,RCM;$330513f254792177-0020;$ACTIVITY_330013f21b703250,CHILD,
2/18/2025 23:48:57.000,01,PR_POLY,Start of Control,,J 00,UP_READY;;UP_READY,Idle;1;1;1,
2/18/2025 23:48:57.200,01,PR_POLY,Acquire,,J 00,UP_READY,SYSTEM:MASTERRECIPE;1,
2/18/2025 23:48:52.013,SERVER_PVC,File Replication,REPLICATION,,J 00,Filerep #6 replicating.,,
2/18/2025 23:48:51.100,01,PR_POLY,State Change,,J 00,RCM,Running,
2/18/2025 23:48:51.600,01,PR_POLY,Start,,J 00,RCM;;$ACTIVITY_330513f254792177,,
2/18/2025 23:48:51.500,01,PR_POLY,BatchCreation,,J 00,Master Recipe Procedure,0225B97,
2/18/2025 23:48:51.211,01,PR_POLY,CHANGE,,,ACTCOMMAND,Start,
2/18/2025 23:48:48.524,01,PR_POLY,CHANGE,,,No reference batch selected,,
2/18/2025 23:48:45.212,01,PR_POLY,CHANGE,,,Created Activity,,
2/18/2025 23:46:50.558,1400,TIC1401,PVLOW,ACK,,VE1401,,
2/18/2025 23:46:45.539,1500,EI1507,PVLOLO,ACK,,BL1503 CURRENT,,
2/18/2025 23:46:37.600,1500,EI1507,PVLOLO,,H 00,BL1503 CURRENT,134.926,amp
2/18/2025 23:46:36.600,1400,TIC1401,PVLOW,,L 00,VE1401,29.8113,DegC
2/18/2025 23:46:03.494,1500,FIC1503,CHANGE,,,PIDA.SP,2900,kg/h
2/18/2025 23:46:01.119,1500,FIC1503,CHANGE,,,PIDA.SP,2850,kg/h
2/18/2025 23:45:59.221,1500,FIC1503,CHANGE,,,pida.mode,AUTO,
2/18/2025 23:42:49.500,1300,PLYPRSDEVALB,OFFNRM,OK,L 00,POLY-B PRESS DEVIAT. AL,OFF,
2/18/2025 23:41:24.500,1400,LIC1401,PVHIGH,OK,L 00,VE1401,0.390736,m
2/18/2025 23:39:24.888,1700,TI1701,PVHIGH,ACK,,RF1701 DELIVERY,,
2/18/2025 23:39:19.600,1700,TI1701,PVHIGH,,L 00,RF1701 DELIVERY,9.00223,DegC
2/18/2025 23:37:25.243,1300,LI1301,CHANGE,,,daca.pvsource,AUTO,
2/18/2025 23:37:23.000,01,EIP0325R,OFFNRM,,J 00,BPO026 B REPORT REQUEST,ON,
2/18/2025 23:36:55.300,1800,FIC1801,PVLOW,OK,L 00,HE1803 INLET,1.12404,m3/h
2/18/2025 23:32:03.700,1400,LIC1402,PVHIGH,OK,L 00,VE1402,0.425425,m
2/18/2025 23:31:28.100,1400,TIC1402,PVLOW,OK,L 00,VE1402,31.0201,DegC
2/18/2025 23:30:35.500,8800,TI8801,PVLOW,OK,L 00,BOILER BODY TEMP,179.506,DegC
2/18/2025 23:30:18.318,SERVER_PVC,CONSOLE STATION 1-1,LEVEL,,,Security level,Oper,
2/18/2025 23:30:18.318,SERVER_PVC,CONSOLE STATION 1-1,LEVEL,,,Security level (IKB Key Switch),View Only,
2/18/2025 23:30:14.581,1400,LIC1402,PVHIGH,ACK,,VE1402,,
2/18/2025 23:30:10.600,1400,LIC1402,PVHIGH,,L 00,VE1402,0.431574,m
2/18/2025 23:30:01.800,1100,CH3FEED_B,State Change,,J 00,SCM,Idle,
2/18/2025 23:30:01.700,01,EIP0324R,OFFNRM,,J 00,BPO025 B REPORT REQUEST,ON,
2/18/2025 23:30:00.000,1100,CH3FEED_B,End,,J 00,SCM,,
2/18/2025 23:30:00.000,1100,CH3FEED_B,State Change,,J 00,SCM,Complete,
2/18/2025 23:30:00.373,1400,LIC1401,PVHIGH,ACK,,VE1401,,
2/18/2025 23:29:56.400,1400,LIC1401,PVHIGH,,L 00,VE1401,0.40011,m
2/18/2025 23:28:20.897,1300,AI1301,PVHIGH,ACK,,VE1306 INLET,,
2/18/2025 23:28:17.700,1400,LIC1401,PVHIGH,OK,L 00,VE1401,0.390586,m
2/18/2025 23:28:12.400,1300,AI1301,PVHIGH,,L 00,VE1306 INLET,9.90236,ph
2/18/2025 23:28:12.345,1300,AI1301,CHANGE,,,daca.pvsource,AUTO,
2/18/2025 23:27:58.277,1500,EI1507,PVLOLO,ACK,,BL1503 CURRENT,,
2/18/2025 23:27:57.974,1500,EI1507,PVLOLO,ACK,,BL1503 CURRENT,,
2/18/2025 23:27:52.100,1500,EI1507,PVLOLO,OK,H 00,BL1503 CURRENT,141.07,amp
2/18/2025 23:27:45.100,1500,EI1507,PVLOLO,,H 00,BL1503 CURRENT,134.926,amp
2/18/2025 23:27:01.398,1300,AI1301,CHANGE,,,daca.pvhhalm.tp,14,ph
2/18/2025 23:26:59.707,SERVER_PVC,CONSOLE STATION 1-1,LEVEL,,,Security level,Engr,
2/18/2025 23:26:59.707,SERVER_PVC,CONSOLE STATION 1-1,LEVEL,,,Security level (IKB Key Switch),Engr,
2/18/2025 23:26:48.500,01,EVENT_SCM1B,OFFNRM,,J 00,,ON,
2/18/2025 23:26:48.400,01,EVENT_SCM1B,OFFNRM,,J 00,,ON,
2/18/2025 23:26:26.823,1500,TI1504,CHANGE,,,daca.pvsource,AUTO,
2/18/2025 23:26:16.300,1500,NAOHFEED,State Change,,J 00,SCM,Running,
2/18/2025 23:26:14.700,1500,NAOHFEED,State Change,,J 00,SCM,Restarting,
2/18/2025 23:26:08.521,1800,FIC1801,PVLOW,ACK,,HE1803 INLET,,
2/18/2025 23:26:02.700,1800,FIC1801,PVLOW,,L 00,HE1803 INLET,0.461083,m3/h
2/18/2025 23:25:55.300,01,OP_SUPER_B,Release,,J 00,AUTOJET_B1;$330013f21b5031d4-0005,SYSTEM:SCM;1,
2/18/2025 23:25:55.000,01,OP_SUPER_B,End of Control,,J 00,AUTOJET_B1;$330013f21b5031d4-0005,Idle;1;1;1,
2/18/2025 23:25:55.400,1300,AUTOJET_B1,State Change,,J 00,SCM,Idle,
2/18/2025 23:25:54.200,01,OP_SUPER_B,Release,,J 00,AUTOJET_B2;$330013f21b5031d4-0005,SYSTEM:SCM;1,
