Date/Time of Report: 3/17/2025 12:02:03,,,,,,,,
Requester: STN03 - Oper,,,,,,,,
Filter Applied: Event Time: 1/20/2025,,,,,,,,
Sort Criteria: Event Time descending,,,,,,,,
Server: ESV-01B,,,,,,,,
"Tip: to see the full time in Excel, use a custom cell format:  d/mm/yyyy h:mm:ss.000",,,,,,,,
,,,,,,,,
,,,,,,,,
Event Time,Location Tag,Source,Condition,Action,Priority,Description,Value,Units
1/20/2025 23:58:40.304,8100,AI_PH10,PVLOLO,ACK,,EFFULUENT CHANEL OLD W/S,,
1/20/2025 23:58:12.000,8100,AI_PH10,PVLOLO,,H 00,EFFULUENT CHANEL OLD W/S,6.12891,pH
1/20/2025 23:57:52.942,1800,LIC1803,PVHIGH,ACK,,VE1803,,
1/20/2025 23:57:41.591,1800,FIC1801,CHANGE,,,PIDA.SP,7,m3/h
1/20/2025 23:57:40.532,1800,FIC1801,CHANGE,,,PIDA.SP,7,m3/h
1/20/2025 23:57:40.791,1800,FIC1801,CHANGE,,,PIDA.SP,6.9,m3/h
1/20/2025 23:57:39.286,1800,FIC1801,CHANGE,,,PIDA.SP,6.8,m3/h
1/20/2025 23:57:39.861,1800,FIC1801,CHANGE,,,PIDA.SP,6.7,m3/h
1/20/2025 23:57:39.046,1800,FIC1801,CHANGE,,,PIDA.SP,6.6,m3/h
1/20/2025 23:57:39.776,1800,FIC1801,CHANGE,,,PIDA.SP,6.5,m3/h
1/20/2025 23:57:38.708,1800,FIC1801,CHANGE,,,PIDA.SP,6.4,m3/h
1/20/2025 23:57:38.894,1800,FIC1801,CHANGE,,,PIDA.SP,6.3,m3/h
1/20/2025 23:57:37.065,1800,FIC1801,CHANGE,,,PIDA.SP,6.2,m3/h
1/20/2025 23:57:37.850,1800,FIC1801,CHANGE,,,PIDA.SP,6.1,m3/h
1/20/2025 23:56:59.300,1800,LIC1803,PVHIGH,,L 00,VE1803,1.72539,m
1/20/2025 23:56:27.900,1800,LIC1803,PVHIGH,OK,L 00,VE1803,1.69183,m
1/20/2025 23:55:50.000,8100,AI_PH10,PVLOLO,OK,H 00,EFFULUENT CHANEL OLD W/S,6.46069,pH
1/20/2025 23:55:32.900,8100,AI_PH10,PVLOLO,,H 00,EFFULUENT CHANEL OLD W/S,5.57505,pH
1/20/2025 23:55:13.903,1400,TIC1401,PVLOW,ACK,,VE1401,,
1/20/2025 23:55:07.900,1400,TIC1401,PVLOW,,L 00,VE1401,15.7501,DegC
1/20/2025 23:54:58.600,1900,FI1901B,BAD PV,,J 00,STEAM HEADER FROM BOILER,,kg/h
1/20/2025 23:54:52.800,8100,AI_PH10,PVHIHI,OK,H 00,EFFULUENT CHANEL OLD W/S,8.61726,pH
1/20/2025 23:54:28.900,1900,FT1901B,BAD PV,,J 00,STEAM HEADER FROM BOILER,,kg/h
1/20/2025 23:53:41.056,8100,AI_PH10,PVHIHI,ACK,,EFFULUENT CHANEL OLD W/S,,
1/20/2025 23:53:25.500,1300,RECHEAT,State Change,,J 00,SCM,Running,
1/20/2025 23:53:25.100,1300,RECHEAT,Start,,J 00,SCM,,
1/20/2025 23:53:24.300,01,EVENT_SCM2A,ChOfSt,,J 00,DISCCHK_B_T1,OFF,
1/20/2025 23:53:24.400,01,EVENT_SCM2A,ChOfSt,,J 00,DISCHARGE_B_T1,OFF,
1/20/2025 23:53:24.700,01,EVENT_SCM2A,ChOfSt,,J 00,AUTOJET_B2_T1_1,OFF,
1/20/2025 23:53:24.300,01,EVENT_SCM1B,ChOfSt,,J 00,POLYREC_A_T1,OFF,
1/20/2025 23:53:24.000,01,EVENT_SCM1B,ChOfSt,,J 00,HEATUP2_A_T1,OFF,
1/20/2025 23:53:24.500,01,EVENT_SCM1B,OFFNRM,,J 00,,ON,
1/20/2025 23:53:24.300,01,EVENT_SCM1A,ChOfSt,,J 00,AUTOJET_A1_T1,OFF,
1/20/2025 23:53:24.200,01,EVENT_SCM1A,ChOfSt,,J 00,AUTOJET_A2_T1,OFF,
1/20/2025 23:53:24.400,01,EVENT_SCM1A,ChOfSt,,J 00,PRERECOV_A_T1,OFF,
1/20/2025 23:53:24.600,01,EVENT_SCM1A,ChOfSt,,J 00,DISCCHK_A_T1,OFF,
1/20/2025 23:53:24.700,01,EVENT_SCM1A,ChOfSt,,J 00,FILWASH_A_T1,OFF,
