Date/Time of Report: 3/17/2025 10:58:12,,,,,,,,
Requester: STN03 - Oper,,,,,,,,
Filter Applied: Event Time: 2/27/2025,,,,,,,,
Sort Criteria: Event Time descending,,,,,,,,
Server: ESV-01B,,,,,,,,
"Tip: to see the full time in Excel, use a custom cell format:  d/mm/yyyy h:mm:ss.000",,,,,,,,
,,,,,,,,
,,,,,,,,
Event Time,Location Tag,Source,Condition,Action,Priority,Description,Value,Units
2/27/2025 23:59:33.000,1300,LI1301,BAD PV,OK,J 00,FL1301,0.367823,m
2/27/2025 23:58:55.400,01,EIP0230R,OFFNRM,,J 00,BPO031 A REPORT REQUEST,ON,
2/27/2025 23:58:13.899,1500,TIC1511,CHANGE,,,PIDA.SP,84,DegC
2/27/2025 23:58:06.200,1300,PLYPRSDEVALA,OFFNRM,,L 00,POLY-A PRESS DEVIAT. AL,ON,
2/27/2025 23:58:06.594,1500,SLYTNK_B,CHANGE,,,DATA.R85.Value,6.5,
2/27/2025 23:58:05.197,SERVER_PVC,CONSOLE STATION 1-1,LEVEL,,,Security level,Engr,
2/27/2025 23:58:05.197,SERVER_PVC,CONSOLE STATION 1-1,LEVEL,,,Security level (IKB Key Switch),Engr,
2/27/2025 23:57:59.100,1400,FI1406,PVLOW,OK,H 00,PU1403 MIN FLOW,620.086,kg/Hr
2/27/2025 23:57:35.521,1500,FIC1501,CHANGE,,,PIDA.SP,52,t/h
2/27/2025 23:57:24.100,1300,FG1324A,PVLOLO,,J 00,CH2 LINE FPW POLY A,-0.382163,L/h
2/27/2025 23:57:24.000,1300,FG1324A,PVLOW,,J 00,CH2 LINE FPW POLY A,-0.382163,L/h
2/27/2025 23:56:43.800,1300,LI1301,BAD PV,,J 00,FL1301,,m
2/27/2025 23:56:25.700,1500,PI1512,PVLOW,,J 00,DR1501 INSIDE,251.257,mmH2O
2/27/2025 23:55:06.200,1300,LI1301,BAD PV,OK,J 00,FL1301,3.75621,m
2/27/2025 23:55:00.938,1400,FI1406,PVLOW,ACK,,PU1403 MIN FLOW,,
2/27/2025 23:54:55.100,1400,FI1406,PVLOW,,H 00,PU1403 MIN FLOW,,kg/Hr
2/27/2025 23:54:39.500,1300,LI1301,BAD PV,,J 00,FL1301,,m
2/27/2025 23:54:35.319,1500,EI1507,ALARM,ACK PNT,,BL1503 CURRENT,,
2/27/2025 23:54:35.319,1500,EI1507,PVLOLO,ACK,,BL1503 CURRENT,,
2/27/2025 23:54:30.900,1500,EI1507,PVLOLO,,H 00,BL1503 CURRENT,134.477,amp
2/27/2025 23:54:23.200,1300,TIC1301A,DEVLOW,,J 00,RE1301A,-1.0072,DegC
2/27/2025 23:54:15.300,1400,FI1406,PVLOW,OK,H 00,PU1403 MIN FLOW,644.869,kg/Hr
2/27/2025 23:54:07.800,1300,POLYREC_A,State Change,,J 00,SCM,Running,
2/27/2025 23:54:07.100,1300,POLYREC_A,Start,,J 00,SCM,CHILD,
2/27/2025 23:54:06.100,1300,FILWASH_A,State Change,,J 00,SCM,Running,
2/27/2025 23:54:06.300,1300,FILWASH_A,Start,,J 00,SCM,CHILD,
2/27/2025 23:54:06.000,01,OP_SUPER_A,Start of Control,,J 00,FILWASH_A;$330013f2205f6149-0005;FILWASH_A,Idle;1;1;1,
2/27/2025 23:54:06.900,01,OP_SUPER_A,Acquire,,J 00,FILWASH_A;$330013f2205f6149-0005,SYSTEM:SCM;1,
2/27/2025 23:54:06.200,01,OP_SUPER_A,Start of Control,,J 00,POLYREC_A;$330013f2205f6149-0005;POLYREC_A,Idle;1;1;1,
2/27/2025 23:54:06.000,01,OP_SUPER_A,Acquire,,J 00,POLYREC_A;$330013f2205f6149-0005,SYSTEM:SCM;1,
2/27/2025 23:54:06.400,01,OP_SUPER_A,Release,,J 00,DISCHRGE_A;$330013f2205f6149-0005,SYSTEM:SCM;1,
2/27/2025 23:54:06.100,01,OP_SUPER_A,End of Control,,J 00,DISCHRGE_A;$330013f2205f6149-0005,Idle;1;1;1,
2/27/2025 23:54:06.800,01,OP_SUPER_A,Release,,J 00,PRERECOV_A;$330013f2205f6149-0005,SYSTEM:SCM;1,
2/27/2025 23:54:06.400,01,OP_SUPER_A,End of Control,,J 00,PRERECOV_A;$330013f2205f6149-0005,Idle;1;1;1,
2/27/2025 23:54:05.600,1300,DISCHRGE_A,State Change,,J 00,SCM,Idle,
2/27/2025 23:54:05.800,1300,PRERECOV_A,State Change,,J 00,SCM,Idle,
2/27/2025 23:54:04.600,1300,DISCHRGE_A,End,,J 00,SCM,,
2/27/2025 23:54:04.500,1300,DISCHRGE_A,State Change,,J 00,SCM,Complete,
2/27/2025 23:54:04.100,1300,PRERECOV_A,End,,J 00,SCM,,
2/27/2025 23:54:04.100,1300,PRERECOV_A,State Change,,J 00,SCM,Complete,
2/27/2025 23:52:53.700,1100,LI1107,BAD PV,,J 00,VE1101,,m
2/27/2025 23:52:52.700,1100,LI1107,BAD PV,OK,J 00,VE1101,-0.115424,m
2/27/2025 23:52:21.700,1300,TIC1301A,DEVHI,OK,L 00,RE1301A,-0.00160776,DegC
2/27/2025 23:52:10.739,1200,LIC1202,CHANGE,,,pida.opHilm,46,%
2/27/2025 23:51:58.438,SERVER_PVC,CONSOLE STATION 4-1,LEVEL,,,Security level,Engr,
2/27/2025 23:51:58.438,SERVER_PVC,CONSOLE STATION 4-1,LEVEL,,,Security level (IKB Key Switch),Engr,
2/27/2025 23:51:41.706,1200,FIC1202,CHANGE,,,pida.sp,12.5,m3/h
2/27/2025 23:50:16.800,1400,FI1406,BAD PV,OK,L 00,PU1403 MIN FLOW,-106.198,kg/Hr
2/27/2025 23:48:24.300,1500,PI1512,PVLOW,OK,J 00,DR1501 INSIDE,270.065,mmH2O
2/27/2025 23:48:02.300,1500,PI1512,PVLOW,,J 00,DR1501 INSIDE,255.135,mmH2O
2/27/2025 23:46:25.294,1400,FI1406,BAD PV,ACK,,PU1403 MIN FLOW,,
