Date/Time of Report: 3/17/2025 11:55:00,,,,,,,,
Requester: STN03 - Oper,,,,,,,,
Filter Applied: Event Time: 1/31/2025,,,,,,,,
Sort Criteria: Event Time descending,,,,,,,,
Server: ESV-01B,,,,,,,,
"Tip: to see the full time in Excel, use a custom cell format:  d/mm/yyyy h:mm:ss.000",,,,,,,,
,,,,,,,,
,,,,,,,,
Event Time,Location Tag,Source,Condition,Action,Priority,Description,Value,Units
1/31/2025 23:59:56.664,8700,AI8102,PVLOW,ACK,,PT8705 PH,,
1/31/2025 23:59:53.311,8700,AI8102,PVHIGH,ACK,,PT8705 PH,,
1/31/2025 23:59:50.526,8700,AI8102,PVHIHI,ACK,,PT8705 PH,,
1/31/2025 23:59:47.574,8700,AI8102,PVLOLO,ACK,,PT8705 PH,,
1/31/2025 23:59:38.800,8700,AI8102,PVHIHI,,H 00,PT8705 PH,9.00246,ph
1/31/2025 23:57:04.800,IOLINK04_1,AIOR-704,OP Fail in circuit/field wire,OK,H 15,,Channel_18_A,
1/31/2025 23:56:34.400,01,EVENT_SCM2A,OFFNRM,,J 00,,ON,
1/31/2025 23:56:33.600,1300,XSV1318B,CMDDIS,,L 00,RE1301B DISCHARGE,Inbet,
1/31/2025 23:56:28.100,8700,AI8102,PVHIGH,,H 00,PT8705 PH,8.30147,ph
1/31/2025 23:54:38.600,8700,AI8102,PVLOW,OK,H 00,PT8705 PH,6.95234,ph
1/31/2025 23:53:58.100,8700,AI8102,PVLOLO,OK,U 00,PT8705 PH,6.144,ph
1/31/2025 23:53:45.500,1300,FG1324B,PVHIGH,,L 00,CH2 LINE FPW FLOW,389.988,
1/31/2025 23:53:45.800,01,EVENT_SCM1B,OFFNRM,,J 00,,ON,
1/31/2025 23:53:33.424,1300,XSV1318B,CHANGE,,,devctla.gop,S1,
1/31/2025 23:53:31.543,1300,XSV1331B,CHANGE,,,devctla.gop,S1,
1/31/2025 23:53:12.000,1300,FG1324B,PVLOLO,OK,J 00,CH2 LINE FPW FLOW,230.082,
1/31/2025 23:53:12.900,1300,FG1324B,PVLOW,OK,J 00,CH2 LINE FPW FLOW,230.082,
1/31/2025 23:53:11.375,1300,XSV1321B,CHANGE,,,devctla.gop,S1,
1/31/2025 23:50:29.800,8700,AI8102,PVLOLO,,U 00,PT8705 PH,5.93899,ph
1/31/2025 23:50:09.300,8700,AI8102,PVLOW,,H 00,PT8705 PH,6.77409,ph
1/31/2025 23:49:28.500,1700,TIC1702,DEVLOW,OK,L 00,PU1705 DELIVERY,-3.48649,DegC
1/31/2025 23:47:40.700,IOLINK04_1,AIOR-704,OP Fail in circuit/field wire,,H 15,,Channel_18_A,
1/31/2025 23:44:44.100,IOLINK04_1,AIOR-704,OP Fail in circuit/field wire,OK,H 15,,Channel_18_A,
1/31/2025 23:43:27.600,8700,AI8102,PVLOW,OK,H 00,PT8705 PH,6.94766,ph
1/31/2025 23:42:46.100,8700,AI8102,PVLOLO,OK,U 00,PT8705 PH,6.14199,ph
1/31/2025 23:42:25.700,1500,PI1514,PVLOLO,OK,H 00,DR1501 INSIDE,110.421,mmH2O
1/31/2025 23:37:44.323,1300,XSV1350,CHANGE,,,devctla.gop,S0,
