Date/Time of Report: 3/18/2025 11:42:25,,,,,,,,
Requester: .\experionadmin,,,,,,,,
Filter Applied: Event Time: 1/28/2025,,,,,,,,
Sort Criteria: Event Time descending,,,,,,,,
Server: ESV01A,,,,,,,,
"Tip: to see the full time in Excel, use a custom cell format:  d/mm/yyyy h:mm:ss.000",,,,,,,,
,,,,,,,,
,,,,,,,,
Event Time,Location Tag,Source,Condition,Action,Priority,Description,Value,Units
1/28/2025 23:59:53.400,3200,TI_3226,ROCPOS,OK,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/28/2025 23:59:48.300,3300,LIC_3307B,PVHIGH,OK,L 00,CO-3302-2B LEVEL,63.9918,%
1/28/2025 23:59:41.900,3200,TI_3226,ROCPOS,,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/28/2025 23:59:38.646,3700,PI_37203,PVHI,,L 00,DEAERATOR PRESSURE,13.8153,KPa
1/28/2025 23:59:36.700,3100,FI_3113,DISABL,,J 00,DPW TO RE-3101A,B,,
1/28/2025 23:59:33.600,3200,TI_3226,ROCPOS,OK,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/28/2025 23:59:30.100,3100,ZL_3184A,OFFNRM,OK,J 00,RE-3101A AGITATOR POSITION INDICATOR,OFF,
1/28/2025 23:59:29.700,3200,TI_3226,ROCPOS,,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/28/2025 23:59:29.500,3100,ZL_3184A,OFFNRM,,J 00,RE-3101A AGITATOR POSITION INDICATOR,ON,
1/28/2025 23:59:28.776,3700,PI_37203,PVHH,,H 00,DEAERATOR PRESSURE,20.3609,KPa
1/28/2025 23:59:15.900,3100,RE_B_WAS_FLO_RAT_MON_CM,INFORMATION MESSAGE,,,RE-B ERROR OF WASHING FLOW RATE,,
1/28/2025 23:59:15.200,3100,FI_3113,PVLOW,OK,J 00,DPW TO RE-3101A,B,319.266,m3/h
1/28/2025 23:59:09.400,3200,TI_3226,ROCPOS,OK,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/28/2025 23:59:06.200,3100,RE_B_BLO_CM,INFORMATION MESSAGE,,,RE-B REACTOR 2ND WASHING START,,
1/28/2025 23:58:57.500,3200,TI_3226,ROCPOS,,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/28/2025 23:58:52.100,3100,FIC_3131B,PVLOW,OK,L 00,DW TO HE-3105B,1.72525,t/h
1/28/2025 23:58:41.200,3200,TI_3226,ROCPOS,OK,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/28/2025 23:58:41.500,3100,ZL_3184A,OFFNRM,OK,J 00,RE-3101A AGITATOR POSITION INDICATOR,OFF,
1/28/2025 23:58:41.400,3300,LIC_3307B,PVHIGH,,L 00,CO-3302-2B LEVEL,65.6674,%
1/28/2025 23:58:39.600,3100,ZL_3184A,OFFNRM,,J 00,RE-3101A AGITATOR POSITION INDICATOR,ON,
1/28/2025 23:58:32.800,3100,VE_3116_REC_CM,INFORMATION MESSAGE,,,VE-3116 RECOVERY START,,
1/28/2025 23:58:17.353,3300,PI_3306,ALARM,ACK PNT,,VE-3302 PRESSURE,,
1/28/2025 23:58:17.353,3300,PI_3306,PVLOW,ACK,,VE-3302 PRESSURE,,
1/28/2025 23:58:16.700,3300,LIC_3307B,PVHIGH,OK,L 00,CO-3302-2B LEVEL,63.9963,%
1/28/2025 23:58:11.800,3300,TI_3309B,DISABL,,J 00,CO-3301-4B OUTLET,,
1/28/2025 23:58:11.900,3300,PI_3313B,DISABL,,J 00,MECH. SEAL RESERVOIR PRESSURE,,
1/28/2025 23:58:11.000,3300,FI_3302B,DISABL,,J 00,CO-3302B SABL WATER,,
1/28/2025 23:58:11.700,3300,FI_3301B,DISABL,,J 00,CO-3301B SEAL WATER,,
1/28/2025 23:58:10.700,3300,TIC_3301B,DISABL,,J 00,CO-3302-4B OUTLET TEMPERATURE CONTROL,,
1/28/2025 23:58:09.700,3200,TI_3226,ROCPOS,,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/28/2025 23:58:06.700,3300,PI_3306,PVLOW,,L 00,VE-3302 PRESSURE,0.399958,MPa
1/28/2025 23:57:57.400,3300,COM_B_STO_CM,INFORMATION MESSAGE,,,COMPRESSION-B STOP,,
1/28/2025 23:57:56.018,3700,PI_37203,PVHH,ACK,,DEAERATOR PRESSURE,,
1/28/2025 23:57:56.018,3700,PI_37203,PVHI,ACK,,DEAERATOR PRESSURE,,
1/28/2025 23:57:56.018,3700,PI_3777,PVLOW,ACK,,CO-3762 2nd DISCHARGE PRESSURE,,
1/28/2025 23:57:56.018,3700,FI_3742,PVLO,ACK,,COMPRESSED AIR FLOW,,
1/28/2025 23:57:56.018,3700,LI_3744,PVHH,ACK,,INTERMEDIATE TANK LEVEL 1,,
1/28/2025 23:57:56.018,3760,TI_3761A,PVLO,ACK,,HEATER TEMPRATURE,,
1/28/2025 23:57:56.018,3700,AI_3702,PVHI,ACK,,MAKEUP WATER CONDUCTIVITY,,
1/28/2025 23:57:56.018,3200,VI_3202_2,PVHIGH,ACK,,BL-3202 BACK BEARING VIBRATION,,
1/28/2025 23:57:49.700,3100,ZL_3184A,OFFNRM,OK,J 00,RE-3101A AGITATOR POSITION INDICATOR,OFF,
1/28/2025 23:57:47.800,3100,ZL_3184A,OFFNRM,,J 00,RE-3101A AGITATOR POSITION INDICATOR,ON,
1/28/2025 23:57:47.800,3200,VI_3202_2,PVHIGH,OK,L 00,BL-3202 BACK BEARING VIBRATION,6.10479,mm/s
1/28/2025 23:57:42.600,3300,TI_3305,PVHIGH,OK,L 00,HE-3302 TUBE SIDE TEMPERATURE,10.9608,°C
1/28/2025 23:57:38.394,3000,XV_3008,CHANGE,,,devctla.gop,S0,
1/28/2025 23:57:22.500,3200,VI_3202_2,PVHIGH,,L 00,BL-3202 BACK BEARING VIBRATION,6.71225,mm/s
