Date/Time of Report: 3/17/2025 10:46:54,,,,,,,,
Requester: STN03 - Oper,,,,,,,,
Filter Applied: Event Time: 3/2/2025,,,,,,,,
Sort Criteria: Event Time descending,,,,,,,,
Server: ESV-01B,,,,,,,,
"Tip: to see the full time in Excel, use a custom cell format:  d/mm/yyyy h:mm:ss.000",,,,,,,,
,,,,,,,,
,,,,,,,,
Event Time,Location Tag,Source,Condition,Action,Priority,Description,Value,Units
3/2/2025 23:59:41.100,01,EVENT_SCM2B,OFFNRM,,J 00,,ON,
3/2/2025 23:59:39.200,01,EVENT_SCM2B,OFFNRM,OK,J 00,,OFF,
3/2/2025 23:59:37.100,01,EVENT_SCM2B,OFFNRM,,J 00,,ON,
3/2/2025 23:59:36.200,1300,FILWASH_B,State Change,,J 00,SCM,Running,
3/2/2025 23:59:36.500,1300,FILWASH_B,Start,,J 00,SCM,CHILD,
3/2/2025 23:59:36.800,1300,POLYREC_B,State Change,,J 00,SCM,Running,
3/2/2025 23:59:36.100,1300,POLYREC_B,Start,,J 00,SCM,CHILD,
3/2/2025 23:59:36.500,01,OP_SUPER_B,Start of Control,,J 00,FILWASH_B;$330013f221fd64e9-0005;FILWASH_B,Idle;1;1;1,
3/2/2025 23:59:36.400,01,OP_SUPER_B,Acquire,,J 00,FILWASH_B;$330013f221fd64e9-0005,SYSTEM:SCM;1,
3/2/2025 23:59:36.700,01,OP_SUPER_B,Start of Control,,J 00,POLYREC_B;$330013f221fd64e9-0005;POLYREC_B,Idle;1;1;1,
3/2/2025 23:59:36.500,01,OP_SUPER_B,Acquire,,J 00,POLYREC_B;$330013f221fd64e9-0005,SYSTEM:SCM;1,
3/2/2025 23:59:36.800,01,OP_SUPER_B,Release,,J 00,PRERECOV_B;$330013f221fd64e9-0005,SYSTEM:SCM;1,
3/2/2025 23:59:36.500,01,OP_SUPER_B,End of Control,,J 00,PRERECOV_B;$330013f221fd64e9-0005,Idle;1;1;1,
3/2/2025 23:59:35.800,1300,PRERECOV_B,State Change,,J 00,SCM,Idle,
3/2/2025 23:59:35.600,01,OP_SUPER_B,Release,,J 00,DISCHRGE_B;$330013f221fd64e9-0005,SYSTEM:SCM;1,
3/2/2025 23:59:35.100,01,OP_SUPER_B,End of Control,,J 00,DISCHRGE_B;$330013f221fd64e9-0005,Idle;1;1;1,
3/2/2025 23:59:34.500,1300,DISCHRGE_B,State Change,,J 00,SCM,Idle,
3/2/2025 23:59:34.000,1300,PRERECOV_B,End,,J 00,SCM,,
3/2/2025 23:59:34.000,1300,PRERECOV_B,State Change,,J 00,SCM,Complete,
3/2/2025 23:59:33.600,1300,DISCHRGE_B,End,,J 00,SCM,,
3/2/2025 23:59:33.500,1300,DISCHRGE_B,State Change,,J 00,SCM,Complete,
3/2/2025 23:59:13.000,1200,TIC1203,PVLOW,OK,L 00,HE1203 D/S TEMP,89.6076,C
3/2/2025 23:58:51.729,1200,TIC1203,PVLOW,ACK,,HE1203 D/S TEMP,,
3/2/2025 23:58:40.400,1200,TIC1203,PVLOW,,L 00,HE1203 D/S TEMP,85.404,C
3/2/2025 23:57:09.386,1100,LI1106,CHANGE,,,daca.pvsource,AUTO,
3/2/2025 23:56:49.241,1400,LI1404,PVLOW,ACK,,VE1407,,
3/2/2025 23:56:43.100,1400,LI1404,PVLOW,,L 00,VE1407,0.25984,m
3/2/2025 23:55:17.365,1300,LIC1305,PVLOW,ACK,,VE1306,,
3/2/2025 23:55:13.300,1300,LIC1305,PVLOW,OK,L 00,VE1306,2,m
3/2/2025 23:55:13.445,1300,LIC1305,CHANGE,,,DACA.PV,2,m
3/2/2025 23:55:10.722,1300,LIC1305,CHANGE,,,daca.pvsource,MAN,
3/2/2025 23:55:06.200,1300,LIC1305,PVLOW,,L 00,VE1306,0.942238,m
3/2/2025 23:55:06.627,1300,LIC1305,CHANGE,,,daca.pvsource,AUTO,
3/2/2025 23:53:52.569,1300,LI1308,PVHIGH,ACK,,VE1304,,
3/2/2025 23:53:44.500,1300,LI1308,PVHIGH,,L 00,VE1304,6.50111,m
3/2/2025 23:50:29.013,1300,PLYTMPDEVALB,OFFNRM,ACK,,POLY-B TEMP DEVIAT. AL,,
3/2/2025 23:50:21.100,1300,PLYTMPDEVALB,OFFNRM,,L 00,POLY-B TEMP DEVIAT. AL,ON,
3/2/2025 23:50:09.609,1300,LIC1305,PVLOW,ACK,,VE1306,,
3/2/2025 23:50:06.900,1300,LIC1305,PVLOW,OK,L 00,VE1306,2,m
3/2/2025 23:50:06.937,1300,LIC1305,CHANGE,,,DACA.PV,2,m
3/2/2025 23:50:04.695,1300,LIC1305,CHANGE,,,daca.pvsource,MAN,
3/2/2025 23:49:59.900,1300,LIC1305,PVLOW,,L 00,VE1306,1.32915,m
3/2/2025 23:49:59.323,1300,LIC1305,CHANGE,,,daca.pvsource,AUTO,
3/2/2025 23:49:39.100,1200,TIC1203,PVLOW,OK,L 00,HE1203 D/S TEMP,89.5025,C
3/2/2025 23:48:35.000,1400,FIC1409,PVHIGH,OK,L 00,VE1409 OUTLET,106.785,Nm3/h
3/2/2025 23:47:26.400,1400,PIC1409,PVHIGH,OK,L 00,VE1409,2.38496,kg/cm2G
3/2/2025 23:47:15.800,1300,LIC1305,PVLOW,OK,L 00,VE1306,2,m
3/2/2025 23:47:15.955,1300,LIC1305,CHANGE,,,DACA.PV,2,m
3/2/2025 23:47:13.319,1300,LIC1305,CHANGE,,,daca.pvsource,MAN,
3/2/2025 23:47:08.900,1200,TIC1203,PVLOLO,OK,H 00,HE1203 D/S TEMP,87.5052,C
3/2/2025 23:47:04.114,1300,XSV1350,CHANGE,,,devctla.gop,S1,
3/2/2025 23:47:02.340,1300,XSV1350,CHANGE,,,devctla.modeattr,OPERATOR,
3/2/2025 23:46:48.941,1300,LIC1305,PVLOW,ACK,,VE1306,,
3/2/2025 23:46:40.800,1300,LIC1305,PVLOW,,L 00,VE1306,1.49918,m
3/2/2025 23:45:52.418,1400,LIC1402,CHANGE,,,pida.mode,AUTO,
3/2/2025 23:45:44.400,1400,LIC1402,PVHIGH,OK,L 00,VE1402,0.208875,m
3/2/2025 23:45:43.306,1400,LIC1402,CHANGE,,,daca.pvsource,AUTO,
3/2/2025 23:44:44.200,1400,PIC1409,PVHIHI,OK,H 00,VE1409,2.88657,kg/cm2G
3/2/2025 23:43:14.096,01,CM_RECIPE,CHANGE,,,flaga.pvfl,ON,
3/2/2025 23:43:14.096,01,CM_RECIPE,CHANGE,,,TIME_K65.TIME,45718.8,
3/2/2025 23:43:14.783,01,K_65,CHANGE,,,DATA.R45.VALUE,25,
3/2/2025 23:43:12.872,01,CM_RECIPE,CHANGE,,,flaga.pvfl,ON,
3/2/2025 23:43:12.603,01,CM_RECIPE,CHANGE,,,TIME_K65.TIME,45718.8,
3/2/2025 23:43:12.603,01,K_65,CHANGE,,,DATA.R45.VALUE,26,
3/2/2025 23:42:22.864,1400,FIC1409,PVHIGH,ACK,,VE1409 OUTLET,,
3/2/2025 23:42:18.200,1400,FIC1409,PVHIGH,,L 00,VE1409 OUTLET,140.946,Nm3/h
3/2/2025 23:42:16.200,1400,FIC1409,PVHIGH,OK,L 00,VE1409 OUTLET,96.5369,Nm3/h
3/2/2025 23:42:14.300,1400,FIC1409,PVHIGH,,L 00,VE1409 OUTLET,140.926,Nm3/h
3/2/2025 23:42:12.600,1400,FIC1409,PVHIGH,OK,L 00,VE1409 OUTLET,80.8405,Nm3/h
3/2/2025 23:42:10.300,1400,FIC1409,PVHIGH,,L 00,VE1409 OUTLET,140.948,Nm3/h
3/2/2025 23:42:08.400,1400,FIC1409,PVHIGH,OK,L 00,VE1409 OUTLET,45.4604,Nm3/h
3/2/2025 23:42:06.400,1400,FIC1409,PVHIGH,,L 00,VE1409 OUTLET,142.231,Nm3/h
3/2/2025 23:42:03.400,1400,FIC1409,PVHIGH,OK,L 00,VE1409 OUTLET,102.353,Nm3/h
3/2/2025 23:42:02.700,1400,FIC1409,PVHIGH,,L 00,VE1409 OUTLET,141.623,Nm3/h
3/2/2025 23:41:59.500,1400,FIC1409,PVHIGH,OK,L 00,VE1409 OUTLET,74.2322,Nm3/h
3/2/2025 23:41:58.500,1400,FIC1409,PVHIGH,,L 00,VE1409 OUTLET,138.197,Nm3/h
3/2/2025 23:41:35.971,1400,FIC1409,CHANGE,,,PIDA.MODE,NORMAL,
3/2/2025 23:41:35.077,1400,FIC1409,CHANGE,,,PIDA.MODE,AUTO,
3/2/2025 23:40:51.640,8800,PI8111,ALARM,ACK PNT,,VE8803 FGC SUCTION DRUM,,
3/2/2025 23:40:51.640,8800,PI8111,PVHIGH,ACK,,VE8803 FGC SUCTION DRUM,,
