Date/Time of Report: 3/17/2025 12:03:16,,,,,,,,
Requester: STN03 - Oper,,,,,,,,
Filter Applied: Event Time: 1/18/2025,,,,,,,,
Sort Criteria: Event Time descending,,,,,,,,
Server: ESV-01B,,,,,,,,
"Tip: to see the full time in Excel, use a custom cell format:  d/mm/yyyy h:mm:ss.000",,,,,,,,
,,,,,,,,
,,,,,,,,
Event Time,Location Tag,Source,Condition,Action,Priority,Description,Value,Units
1/18/2025 23:59:07.600,8200,PI8114,PVLOW,OK,L 00,LOW PRESSURE NITROGEN,4.60146,Kg/cm2G
1/18/2025 23:58:44.200,1300,LI1301,BAD PV,OK,J 00,FL1301,1.44848,m
1/18/2025 23:58:24.608,1400,LIC1401,PVHIGH,ACK,,VE1401,,
1/18/2025 23:58:15.600,01,EVENT_SCM2B,OFFNRM,OK,J 00,,OFF,
1/18/2025 23:58:15.400,01,EVENT_SCM2B,OFFNRM,,J 00,,ON,
1/18/2025 23:58:14.500,1400,LIC1401,PVHIGH,,L 00,VE1401,0.426189,m
1/18/2025 23:58:13.700,01,EIP0330R,OFFNRM,,J 00,BPO031 B REPORT REQUEST,ON,
1/18/2025 23:58:07.464,1400,LIC1401,CHANGE,,,daca.pvsource,MAN,
1/18/2025 23:57:42.600,01,EIP0331R,OFFNRM,,J 00,BPO032 B REPORT REQUEST,ON,
1/18/2025 23:57:19.700,1500,TI1518,PVLOW,OK,L 00,DR1501 INSIDE,57.503,DegC
1/18/2025 23:56:38.000,1300,FG1324B,PVLOLO,,J 00,CH2 LINE FPW FLOW,0.0597239,
1/18/2025 23:56:38.900,1300,FG1324B,PVLOW,,J 00,CH2 LINE FPW FLOW,0.0597239,
1/18/2025 23:56:01.600,1300,LI1301,BAD PV,,J 00,FL1301,,m
1/18/2025 23:55:44.132,1300,PLYPRSDEVALB,OFFNRM,ACK,,POLY-B PRESS DEVIAT. AL,,
1/18/2025 23:55:30.600,1300,PLYPRSDEVALB,OFFNRM,,L 00,POLY-B PRESS DEVIAT. AL,ON,
1/18/2025 23:54:12.100,1300,TIC1301B,DEVLOW,,J 00,RE1301B,-1.00849,DegC
1/18/2025 23:53:29.900,01,EVENT_SCM2B,OFFNRM,,J 00,,ON,
1/18/2025 23:53:27.700,01,EVENT_SCM2B,OFFNRM,OK,J 00,,OFF,
1/18/2025 23:53:25.700,01,EVENT_SCM2B,OFFNRM,,J 00,,ON,
1/18/2025 23:53:24.800,1300,FILWASH_B,State Change,,J 00,SCM,Running,
1/18/2025 23:53:24.000,1300,FILWASH_B,Start,,J 00,SCM,CHILD,
1/18/2025 23:53:24.300,1300,POLYREC_B,State Change,,J 00,SCM,Running,
1/18/2025 23:53:24.600,1300,POLYREC_B,Start,,J 00,SCM,CHILD,
1/18/2025 23:53:23.800,01,OP_SUPER_B,Start of Control,,J 00,FILWASH_B;$330013f209df020b-0005;FILWASH_B,Idle;1;1;1,
1/18/2025 23:53:23.700,01,OP_SUPER_B,Acquire,,J 00,FILWASH_B;$330013f209df020b-0005,SYSTEM:SCM;1,
1/18/2025 23:53:23.000,01,OP_SUPER_B,Start of Control,,J 00,POLYREC_B;$330013f209df020b-0005;POLYREC_B,Idle;1;1;1,
1/18/2025 23:53:23.700,01,OP_SUPER_B,Acquire,,J 00,POLYREC_B;$330013f209df020b-0005,SYSTEM:SCM;1,
1/18/2025 23:53:23.200,01,OP_SUPER_B,Release,,J 00,PRERECOV_B;$330013f209df020b-0005,SYSTEM:SCM;1,
1/18/2025 23:53:23.800,01,OP_SUPER_B,End of Control,,J 00,PRERECOV_B;$330013f209df020b-0005,Idle;1;1;1,
1/18/2025 23:53:23.200,1300,PRERECOV_B,State Change,,J 00,SCM,Idle,
1/18/2025 23:53:22.300,01,OP_SUPER_B,Release,,J 00,DISCHRGE_B;$330013f209df020b-0005,SYSTEM:SCM;1,
1/18/2025 23:53:22.900,01,OP_SUPER_B,End of Control,,J 00,DISCHRGE_B;$330013f209df020b-0005,Idle;1;1;1,
1/18/2025 23:53:22.600,1300,DISCHRGE_B,State Change,,J 00,SCM,Idle,
1/18/2025 23:53:22.600,1300,PRERECOV_B,End,,J 00,SCM,,
1/18/2025 23:53:22.600,1300,PRERECOV_B,State Change,,J 00,SCM,Complete,
1/18/2025 23:53:21.000,1300,DISCHRGE_B,End,,J 00,SCM,,
1/18/2025 23:53:21.900,1300,DISCHRGE_B,State Change,,J 00,SCM,Complete,
1/18/2025 23:52:20.000,8200,PI8114,PVLOW,,L 00,LOW PRESSURE NITROGEN,4.49803,Kg/cm2G
1/18/2025 23:52:06.500,1500,EI1504A2,PVHIGH,OK,L 00,CE1501A CURRENT,38.213,amp
