Date/Time of Report: 3/16/2025 16:22:34,,,,,,,,,
Requester: CSTN01-1 - Oper,,,,,,,,,
Filter Applied: Event Time: Live,,,,,,,,,
Sort Criteria: ,,,,,,,,,
Server: ESV-01B,,,,,,,,,
"Tip: to see the full time in Excel, use a custom cell format:  d/mm/yyyy h:mm:ss.000",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Event Time,Location Tag,Source,Condition,Action,Priority,Description,Value,Units,
3/16/2025 16:22:34.587,SERVER_PVC,,Demand,,,CSV export in progress...,,,
3/16/2025 16:22:14.211,1500,FQC1504,CHANGE,,,pida.mode,NORMAL,,
3/16/2025 16:22:13.185,1500,FQC1504,CHANGE,,,pida.sp,0,kg/h,
3/16/2025 16:22:11.318,1500,FQC1504,CHANGE,,,pida.mode,AUTO,,
3/16/2025 16:21:20.700,1400,TIC1401,PVLOW,OK,L 00,VE1401,32.0329666137695,DegC,
3/16/2025 16:18:23.500,1500,LA1513H,OFFNRM,OK,L 00,HP1603 LEVEL,NORM,,
3/16/2025 16:18:07.506,1600,XSV1602,CHANGE,,,devctla.gop,S1,,
3/16/2025 16:18:06.403,1600,XSV1602,CHANGE,,,devctla.modeattr,OPERATOR,,
3/16/2025 16:17:51.400,01,$ACTIVITY_330413F2352AB609,Phase State Change,,J 00,NASH2;$330013f229de7ede-0006,ProcState,,
3/16/2025 16:17:51.300,1400,NASH2,State Change,,J 00,SCM,Running,,
3/16/2025 16:17:51.600,1400,NASH2,Start,,J 00,SCM,CHILD,,
3/16/2025 16:17:50.000,01,$ACTIVITY_330413F2352AB609,State Change,,J 00,RCM;$330013f229de7ede-0006,Running,,
3/16/2025 16:17:50.900,01,$ACTIVITY_330413F2352AB609,Phase State Change,,J 00,NASH2;$330013f229de7ede-0006,ProcExec,,
3/16/2025 16:17:50.600,01,$ACTIVITY_330413F2352AB609,Start of Control,,J 00,NASH2;$330013f229de7ede-0006;NASH2,Idle;1;1;1,,
3/16/2025 16:17:50.200,01,$ACTIVITY_330413F2352AB609,Acquire,,J 00,NASH2;$330013f229de7ede-0006,SYSTEM:SCM;1,,
3/16/2025 16:17:50.800,01,$ACTIVITY_330413F2352AB609,Phase Start,,J 00,NASH2;$330013f229de7ede-0006,1,,
3/16/2025 16:17:50.700,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,,
3/16/2025 16:17:50.600,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,,
3/16/2025 16:17:50.600,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,,
3/16/2025 16:17:50.400,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,,
3/16/2025 16:17:50.400,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,,
3/16/2025 16:17:50.400,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,,
3/16/2025 16:17:50.300,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,,
3/16/2025 16:17:50.300,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,,
3/16/2025 16:17:50.300,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,,
3/16/2025 16:17:50.200,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,,
3/16/2025 16:17:50.200,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,,
3/16/2025 16:17:50.100,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,,
3/16/2025 16:17:50.000,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,,
3/16/2025 16:17:50.900,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,,
3/16/2025 16:17:50.900,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,,
3/16/2025 16:17:50.900,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,,
3/16/2025 16:17:50.800,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,,
3/16/2025 16:17:50.800,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,,
3/16/2025 16:17:50.800,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,,
3/16/2025 16:17:50.700,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,,
3/16/2025 16:17:50.700,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,,
3/16/2025 16:17:50.600,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,,
3/16/2025 16:17:50.500,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,,
3/16/2025 16:17:50.400,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,,
3/16/2025 16:17:50.400,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,,
3/16/2025 16:17:50.400,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,,
3/16/2025 16:17:50.300,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,,
3/16/2025 16:17:50.300,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,,
3/16/2025 16:17:50.300,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,,
3/16/2025 16:17:50.200,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,,
3/16/2025 16:17:50.200,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,,
3/16/2025 16:17:50.100,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,,
3/16/2025 16:17:50.000,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,,
3/16/2025 16:17:50.000,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,,
