Date/Time of Report: 3/17/2025 10:59:33,,,,,,,,
Requester: STN03 - Oper,,,,,,,,
Filter Applied: Event Time: 2/24/2025,,,,,,,,
Sort Criteria: Event Time descending,,,,,,,,
Server: ESV-01B,,,,,,,,
"Tip: to see the full time in Excel, use a custom cell format:  d/mm/yyyy h:mm:ss.000",,,,,,,,
,,,,,,,,
,,,,,,,,
Event Time,Location Tag,Source,Condition,Action,Priority,Description,Value,Units
2/24/2025 23:59:59.600,01,OP_SUPER_B,Release,,J 00,AIRTOVCM_B;$330013f21ed15b38-0005,SYSTEM:SCM;1,
2/24/2025 23:59:59.200,01,OP_SUPER_B,End of Control,,J 00,AIRTOVCM_B;$330013f21ed15b38-0005,Idle;1;1;1,
2/24/2025 23:59:58.600,01,EVENT_SCM1,ChOfSt,,J 00,CH18FEED_A_T1,ON,
2/24/2025 23:59:58.700,1300,AIRTOVCM_B,State Change,,J 00,SCM,Idle,
2/24/2025 23:59:57.900,01,EVENT_SCM1B,ChOfSt,,J 00,CATWASH_A_T1,ON,
2/24/2025 23:59:57.200,01,EVENT_SCM1A,ChOfSt,,J 00,VCMFEED_A_T1,ON,
2/24/2025 23:59:57.600,01,EVENT_SCM1A,ChOfSt,,J 00,HEATUP_A_T1,ON,
2/24/2025 23:59:57.600,01,EVENT_SCM1A,OFFNRM,OK,J 00,,OFF,
2/24/2025 23:59:57.000,01,EVENT_SCM1A,OFFNRM,OK,J 00,,OFF,
2/24/2025 23:59:57.200,01,EVENT_SCM1A,OFFNRM,OK,J 00,,OFF,
2/24/2025 23:59:57.600,01,EVENT_SCM1A,OFFNRM,OK,J 00,,OFF,
2/24/2025 23:59:57.600,01,EVENT_SCM1A,OFFNRM,OK,J 00,,OFF,
2/24/2025 23:59:57.700,01,EVENT_SCM1,ChOfSt,,J 00,AVCHK_A_T1,ON,
2/24/2025 23:59:57.800,01,EVENT_SCM1,ChOfSt,,J 00,AG1FEED_A_T1,ON,
2/24/2025 23:59:57.100,01,EVENT_SCM1,ChOfSt,,J 00,AG2FEED_A_T1,ON,
2/24/2025 23:59:57.300,01,EVENT_SCM1,ChOfSt,,J 00,AG3FEED_A_T1,ON,
2/24/2025 23:59:57.700,01,EVENT_SCM1,ChOfSt,,J 00,AFCOAT_A_T1,ON,
2/24/2025 23:59:57.700,01,EVENT_SCM1,ChOfSt,,J 00,POLYCHK_A_T1,ON,
2/24/2025 23:59:57.600,01,EVENT_SCM1,ChOfSt,,J 00,AVPW_A_T1,ON,
2/24/2025 23:59:57.600,01,EVENT_SCM1,ChOfSt,,J 00,AIRTOVCM_A_T1,ON,
2/24/2025 23:59:57.300,1300,AIRTOVCM_B,End,,J 00,SCM,,
2/24/2025 23:59:57.200,1300,AIRTOVCM_B,State Change,,J 00,SCM,Complete,
2/24/2025 23:59:57.600,01,OP_SUPER_B,Release,,J 00,AVPW_B;$330013f21ed15b38-0005,SYSTEM:SCM;1,
2/24/2025 23:59:57.200,01,OP_SUPER_B,End of Control,,J 00,AVPW_B;$330013f21ed15b38-0005,Idle;1;1;1,
2/24/2025 23:59:56.700,1300,AVPW_B,State Change,,J 00,SCM,Idle,
2/24/2025 23:59:55.400,1300,AVPW_B,End,,J 00,SCM,,
2/24/2025 23:59:55.300,1300,AVPW_B,State Change,,J 00,SCM,Complete,
2/24/2025 23:59:53.400,01,EVENT_SCM1,ChOfSt,,J 00,CH18FEED_A_T1,OFF,
2/24/2025 23:59:52.000,01,EVENT_SCM1B,ChOfSt,,J 00,CATWASH_A_T1,OFF,
2/24/2025 23:59:52.400,01,EVENT_SCM1A,ChOfSt,,J 00,VCMFEED_A_T1,OFF,
2/24/2025 23:59:52.100,01,EVENT_SCM1A,ChOfSt,,J 00,HEATUP_A_T1,OFF,
2/24/2025 23:59:52.500,01,EVENT_SCM1A,OFFNRM,,J 00,,ON,
2/24/2025 23:59:52.700,01,EVENT_SCM1A,OFFNRM,,J 00,,ON,
2/24/2025 23:59:52.400,01,EVENT_SCM1A,OFFNRM,,J 00,,ON,
2/24/2025 23:59:52.000,01,EVENT_SCM1A,OFFNRM,,J 00,,ON,
2/24/2025 23:59:52.400,01,EVENT_SCM1A,OFFNRM,,J 00,,ON,
2/24/2025 23:59:52.300,1300,AVPW_B,State Change,,J 00,SCM,Running,
2/24/2025 23:59:52.800,1300,AVPW_B,Start,,J 00,SCM,CHILD,
2/24/2025 23:59:52.600,01,EVENT_SCM1,ChOfSt,,J 00,AVCHK_A_T1,OFF,
2/24/2025 23:59:52.200,01,EVENT_SCM1,ChOfSt,,J 00,AG1FEED_A_T1,OFF,
2/24/2025 23:59:52.000,01,EVENT_SCM1,ChOfSt,,J 00,AG2FEED_A_T1,OFF,
2/24/2025 23:59:52.800,01,EVENT_SCM1,ChOfSt,,J 00,AG3FEED_A_T1,OFF,
2/24/2025 23:59:52.400,01,EVENT_SCM1,ChOfSt,,J 00,AFCOAT_A_T1,OFF,
2/24/2025 23:59:52.100,01,EVENT_SCM1,ChOfSt,,J 00,POLYCHK_A_T1,OFF,
2/24/2025 23:59:52.900,01,EVENT_SCM1,ChOfSt,,J 00,AVPW_A_T1,OFF,
2/24/2025 23:59:52.600,01,EVENT_SCM1,ChOfSt,,J 00,AIRTOVCM_A_T1,OFF,
2/24/2025 23:59:52.900,1300,AIRTOVCM_B,State Change,,J 00,SCM,Running,
2/24/2025 23:59:52.000,1300,AIRTOVCM_B,Start,,J 00,SCM,CHILD,
2/24/2025 23:59:52.800,01,OP_SUPER_B,Start of Control,,J 00,AIRTOVCM_B;$330013f21ed15b38-0005;AIRTOVCM_B,Idle;1;1;1,
2/24/2025 23:59:52.600,01,OP_SUPER_B,Acquire,,J 00,AIRTOVCM_B;$330013f21ed15b38-0005,SYSTEM:SCM;1,
2/24/2025 23:59:52.000,01,OP_SUPER_B,Start of Control,,J 00,AVPW_B;$330013f21ed15b38-0005;AVPW_B,Idle;1;1;1,
2/24/2025 23:59:52.900,01,OP_SUPER_B,Acquire,,J 00,AVPW_B;$330013f21ed15b38-0005,SYSTEM:SCM;1,
2/24/2025 23:59:52.700,01,OP_SUPER_B,Release,,J 00,AVCHK_B;$330013f21ed15b38-0005,SYSTEM:SCM;1,
2/24/2025 23:59:52.300,01,OP_SUPER_B,End of Control,,J 00,AVCHK_B;$330013f21ed15b38-0005,Idle;1;1;1,
2/24/2025 23:59:51.300,01,EVENT_SCM1,ChOfSt,,J 00,CH18FEED_A_T1,ON,
2/24/2025 23:59:51.300,1300,AVCHK_B,State Change,,J 00,SCM,Idle,
2/24/2025 23:59:50.900,01,EVENT_SCM1B,ChOfSt,,J 00,CATWASH_A_T1,ON,
2/24/2025 23:59:50.500,01,EVENT_SCM1A,ChOfSt,,J 00,VCMFEED_A_T1,ON,
2/24/2025 23:59:50.900,01,EVENT_SCM1A,ChOfSt,,J 00,HEATUP_A_T1,ON,
2/24/2025 23:59:50.800,01,EVENT_SCM1A,OFFNRM,OK,J 00,,OFF,
2/24/2025 23:59:50.000,01,EVENT_SCM1A,OFFNRM,OK,J 00,,OFF,
2/24/2025 23:59:50.200,01,EVENT_SCM1A,OFFNRM,OK,J 00,,OFF,
2/24/2025 23:59:50.600,01,EVENT_SCM1A,OFFNRM,OK,J 00,,OFF,
2/24/2025 23:59:50.600,01,EVENT_SCM1A,OFFNRM,OK,J 00,,OFF,
2/24/2025 23:59:50.300,01,EVENT_SCM1,ChOfSt,,J 00,AVCHK_A_T1,ON,
2/24/2025 23:59:50.300,01,EVENT_SCM1,ChOfSt,,J 00,AG1FEED_A_T1,ON,
2/24/2025 23:59:50.700,01,EVENT_SCM1,ChOfSt,,J 00,AG2FEED_A_T1,ON,
2/24/2025 23:59:50.900,01,EVENT_SCM1,ChOfSt,,J 00,AG3FEED_A_T1,ON,
2/24/2025 23:59:50.100,01,EVENT_SCM1,ChOfSt,,J 00,AFCOAT_A_T1,ON,
2/24/2025 23:59:50.200,01,EVENT_SCM1,ChOfSt,,J 00,POLYCHK_A_T1,ON,
2/24/2025 23:59:50.200,01,EVENT_SCM1,ChOfSt,,J 00,AVPW_A_T1,ON,
2/24/2025 23:59:50.200,01,EVENT_SCM1,ChOfSt,,J 00,AIRTOVCM_A_T1,ON,
2/24/2025 23:59:50.300,1300,AVCHK_B,End,,J 00,SCM,,
2/24/2025 23:59:50.100,1300,AVCHK_B,State Change,,J 00,SCM,Complete,
2/24/2025 23:59:48.700,01,EVENT_SCM1,ChOfSt,,J 00,CH18FEED_A_T1,OFF,
2/24/2025 23:59:48.428,1500,FIC1516,CHANGE,,,PIDA.OP,45,%
2/24/2025 23:59:47.000,01,EVENT_SCM1B,ChOfSt,,J 00,CATWASH_A_T1,OFF,
2/24/2025 23:59:47.800,01,EVENT_SCM1A,ChOfSt,,J 00,VCMFEED_A_T1,OFF,
2/24/2025 23:59:47.500,01,EVENT_SCM1A,ChOfSt,,J 00,HEATUP_A_T1,OFF,
2/24/2025 23:59:47.000,01,EVENT_SCM1A,OFFNRM,,J 00,,ON,
2/24/2025 23:59:47.200,01,EVENT_SCM1A,OFFNRM,,J 00,,ON,
2/24/2025 23:59:47.900,01,EVENT_SCM1A,OFFNRM,,J 00,,ON,
2/24/2025 23:59:47.700,01,EVENT_SCM1A,OFFNRM,,J 00,,ON,
2/24/2025 23:59:47.000,01,EVENT_SCM1A,OFFNRM,,J 00,,ON,
2/24/2025 23:59:47.300,01,EVENT_SCM1,ChOfSt,,J 00,AVCHK_A_T1,OFF,
2/24/2025 23:59:47.000,01,EVENT_SCM1,ChOfSt,,J 00,AG1FEED_A_T1,OFF,
2/24/2025 23:59:47.600,01,EVENT_SCM1,ChOfSt,,J 00,AG2FEED_A_T1,OFF,
