Date/Time of Report: 3/17/2025 12:31:55,,,,,,,,
Requester: STN03 - Oper,,,,,,,,
Filter Applied: Event Time: 1/9/2025,,,,,,,,
Sort Criteria: Event Time descending,,,,,,,,
Server: ESV-01B,,,,,,,,
"Tip: to see the full time in Excel, use a custom cell format:  d/mm/yyyy h:mm:ss.000",,,,,,,,
,,,,,,,,
,,,,,,,,
Event Time,Location Tag,Source,Condition,Action,Priority,Description,Value,Units
1/9/2025 23:57:28.774,1700,FI1701,PVLOW,ACK,,DR1501 JACKET INLET,,
1/9/2025 23:57:26.243,1400,FI1406,BAD PV,ACK,,PU1403 MIN FLOW,,
1/9/2025 23:57:24.021,1200,LIC1201,PVHIHI,ACK,,VE1201,,
1/9/2025 23:57:20.300,1400,FI1406,BAD PV,,L 00,PU1403 MIN FLOW,,kg/Hr
1/9/2025 23:56:11.900,1400,FI1406,BAD PV,OK,L 00,PU1403 MIN FLOW,-118.935,kg/Hr
1/9/2025 23:54:40.610,1700,FI1701,PVLOLO,ACK,,DR1501 JACKET INLET,,
1/9/2025 23:54:22.400,1700,FI1701,PVLOLO,,H 00,DR1501 JACKET INLET,5.93679,m3/h
1/9/2025 23:54:22.300,1700,FI1701,PVLOW,,L 00,DR1501 JACKET INLET,5.93679,m3/h
1/9/2025 23:54:20.300,1200,LIC1201,PVHIHI,,H 00,VE1201,5.00007,m
1/9/2025 23:53:19.200,1700,FI1701,PVLOLO,OK,H 00,DR1501 JACKET INLET,31.4811,m3/h
1/9/2025 23:53:19.100,1700,FI1701,PVLOW,OK,L 00,DR1501 JACKET INLET,31.4811,m3/h
1/9/2025 23:53:13.273,1700,FI1701,PVLOW,ACK,,DR1501 JACKET INLET,,
1/9/2025 23:53:11.092,1700,FI1701,PVLOLO,ACK,,DR1501 JACKET INLET,,
1/9/2025 23:53:07.400,1700,FI1701,PVLOLO,,H 00,DR1501 JACKET INLET,5.81554,m3/h
1/9/2025 23:53:07.300,1700,FI1701,PVLOW,,L 00,DR1501 JACKET INLET,5.81554,m3/h
1/9/2025 23:52:13.909,8700,AI8102,PVLOLO,ACK,,PT8705 PH,,
1/9/2025 23:51:57.000,8700,AI8102,PVLOLO,,U 00,PT8705 PH,5.99551,ph
1/9/2025 23:51:34.400,1700,FI1701,PVLOW,OK,L 00,DR1501 JACKET INLET,39.0014,m3/h
1/9/2025 23:51:28.700,1700,FI1701,PVLOLO,OK,H 00,DR1501 JACKET INLET,24.1157,m3/h
1/9/2025 23:50:33.335,1700,FI1701,PVLOW,ACK,,DR1501 JACKET INLET,,
1/9/2025 23:50:32.659,1700,FI1701,PVLOLO,ACK,,DR1501 JACKET INLET,,
1/9/2025 23:50:21.500,1700,FI1701,PVLOLO,,H 00,DR1501 JACKET INLET,5.41309,m3/h
1/9/2025 23:50:21.400,1700,FI1701,PVLOW,,L 00,DR1501 JACKET INLET,5.41309,m3/h
1/9/2025 23:49:36.000,8700,AI8102,PVLOW,,H 00,PT8705 PH,6.79984,ph
1/9/2025 23:49:19.400,1700,FI1701,PVLOW,OK,L 00,DR1501 JACKET INLET,31.2012,m3/h
1/9/2025 23:49:18.300,1700,FI1701,PVLOLO,OK,H 00,DR1501 JACKET INLET,25.0044,m3/h
1/9/2025 23:46:16.670,1300,LI1303CT_CM,MESSAGE,CNF,,RESTART OK?,,
1/9/2025 23:46:13.536,1300,LI1303CT_CM,MESSAGE,ACK,,RESTART OK?,,
1/9/2025 23:46:12.997,1300,LI1303CT_CM,MESSAGE,ACK,,9-16 LI1303CT STOP COND MESSAGE,,
1/9/2025 23:46:10.125,1300,LI1303CT_CM,MESSAGE,ACK,,PU1206A AND PU1206B NOT RUNNING,,
1/9/2025 23:46:01.338,1200,PI1214,PVLOW,ACK,,PU1206A,B DELIVERY,,
1/9/2025 23:45:48.400,1200,PI1214,PVLOW,,L 00,PU1206A,B DELIVERY,6.43113,kg/cm2G
1/9/2025 23:45:44.047,1200,PU1206,OFFNRM,ACK,,PU1206 A/B STOP ALARM,,
1/9/2025 23:45:43.800,8700,AI8102,PVHIGH,OK,H 00,PT8705 PH,8.15198,ph
1/9/2025 23:45:42.079,1200,PI1214,PVLOLO,ACK,,PU1206A,B DELIVERY,,
1/9/2025 23:45:37.900,1300,LI1303CT_CM,INFORMATION MESSAGE,,,9-16 LI1303CT STOP COND MESSAGE,,
1/9/2025 23:45:37.800,1300,LI1303CT_CM,INFORMATION MESSAGE,,,PU1206A AND PU1206B NOT RUNNING,,
1/9/2025 23:45:37.200,1300,LI1303CT,State Change,,J 00,SCM,Held,
1/9/2025 23:45:37.600,1200,PI1214,PVLOLO,,H 00,PU1206A,B DELIVERY,7.53858,kg/cm2G
1/9/2025 23:45:36.700,1300,LI1303CT_CM,CONFIRMABLE MESSAGE,,,RESTART OK?,,
1/9/2025 23:45:36.200,1200,PU1206,OFFNRM,,L 00,PU1206 A/B STOP ALARM,STOP,
1/9/2025 23:45:36.800,1300,LI1303CT,State Change,,J 00,SCM,Holding,
1/9/2025 23:43:50.300,8700,AI8102,PVHIHI,OK,H 00,PT8705 PH,8.85731,ph
1/9/2025 23:40:13.274,1500,EI1502,BAD PV,ACK,,PU1501B CURRENT,,
1/9/2025 23:40:08.800,1500,EI1502,BAD PV,,L 00,PU1501B CURRENT,,amp
1/9/2025 23:36:11.600,8400,AIC8101,PVLOLO,OK,H 00,COOLING WATER,7.94163,ph
1/9/2025 23:34:36.000,8700,AI8102,PVHIHI,,H 00,PT8705 PH,9.00246,ph
1/9/2025 23:34:01.983,1700,FI1701,PVLOW,ACK,,DR1501 JACKET INLET,,
